회사명,거래소코드,회계년도,유형자산증가율,유동자산증가율,영업이익증가율,경상이익증가율 (2007년 이전 발생),순이익증가율,재고자산증가율,자기자본증가율,매출액증가율,종업원1인당 부가가치증가율,종업원수증가율,비유동자산증가율,종업원1인당 매출액증가율,종업원1인당 인건비증가율,매출액총이익률,매출액영업이익률,매출액경상이익률 (2007년 이전 발생),매출액순이익률,총자본사업이익률,총자본영업이익률,총자본경상이익률 (2007년 이전 발생),총자본순이익률,자기자본영업이익률,자기자본경상이익률 (2007년 이전 발생),자기자본순이익률,자본금영업이익률,자본금경상이익률 (2007년 이전 발생),자본금순이익률,조세 대 조세차감전순이익률,기업경상이익률 (2007년 이전 발생),투자수익률 (2007년 이전 발생),기업순이익률,경영자본영업이익률,경영자본순이익률,매출원가 대 매출액비율,영업비율,영업외손익률,금융비용부담률,외환이익 대 매출액비율,광고선전비 대 매출액비율,수지비율,인건비 대 총비용비율,조세공과 대 총비용비율,금융비용 대 총비용비율,감가상각비 대 총비용비율,감가상각률,누적감가상각률,이자부담률,지급이자율,차입금평균이자율,사내유보율,사내유보 대 자기자본비율,적립금비율(재정비율),평균배당률,자기자본배당률,배당성향,1주당매출액(원),EPS(Earning Per Share)(원),1주당경상이익 (2007년 이전 발생)(원),CPS(Cash flow Per Share)(원),BPS(Book-value Per Share)(원),유보율,R & D 투자효율,1주당영업이익(원),유동자산구성비율,재고자산 대 유동자산비율,유동자산 대 비유동자산비율,당좌자산구성비율,비유동자산구성비율,자기자본구성비율,타인자본구성비율,자기자본배율,비유동비율,비유동장기적합률,유동비율,당좌비율,현금비율,원재료비율,매출채권비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,"매출채권 대 상,제품비율",매입채무 대 재고자산비율,부채비율,유동부채비율,단기차입금 대 총차입금비율,비유동부채비율,비유동부채 대 순운전자본비율,순운전자본비율,차입금의존도,차입금비율,이자보상배율(이자비용),이자보상배율(순금융비용),유보액대비율,유보액 대 납입자본배율,유동자산집중도,비유동자산집중도,투자집중도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,영업이익대비이자보상배율,총자본회전률,경영자본회전률,자기자본회전률,자본금회전률,타인자본회전률,매입채무회전률,매입채무회전기간,유동자산회전률,당좌자산회전률,재고자산회전률,재고자산회전기간,"상품,제품회전률","원,부재료회전률",재공품회전률,매출채권회전률,매출채권회전기간,비유동자산회전률,유형자산회전율,순운전자본회전률,운전자본회전률,1회전기간,부가가치(백만원),종업원1인당 부가가치(백만원),종업원1인당 매출액(백만원),종업원1인당 경상이익 (2007년 이전 발생)(백만원),종업원1인당 순이익(백만원),종업원1인당 인건비(백만원),노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,부가가치(백만원),법인세비용차감전(계속사업)손익(백만원),인건비(백만원),금융비용(백만원),임차료(백만원),조세공과(백만원),감가상각비(백만원),종업원1인당 부가가치(백만원),총자본투자효율,기계투자효율,부가가치율,종업원수,PER(Price earnings ratio)(최고),PER(Price earnings ratio)(최저),PBR(Price book-value ratio)(최고),PBR(Price book-value ratio)(최저),PCR(Price cash-flow ratio)(최고),PCR(Price cash-flow ratio)(최저),PSR(Price sales ratio)(최고),PSR(Price sales ratio)(최저),기업가치(EV)(백만원),EBITDA(백만원),EBITDA/매출액(%),EBITDA/금융비용(배),EBITDA/평균발행주식수(백만원),EV/EBITDA(배)
(주)영원무역홀딩스,009970,2018/12,-44.83,34.42,40.86,,25.09,0,16.63,34.17,14.48,9.09,20.13,22.99,-9.68,0,85.06,,71.46,3.22,3.16,,2.65,3.33,,2.80,232.12,,195.01,10.42,,,2.59,82.93,69.67,0,14.94,-5.96,-1.77,0.13,0,22.49,31.24,2.95,-7.70,14.04,35.39,40.90,-1.26,0,0,100,2.91,81.21,136.17,1.82,69.83,"1,364.41","1,146",,"1,078.14","36,809.90","7,471.95",0,"1,160.59",3.72,0,3.86,3.72,96.28,93.34,6.66,"7,498.15",103.15,96.94,548.99,548.99,33.03,0,0,0,0,0,0,7.13,0.73,0,6.41,196.61,3.04,0,0,"999,999,999","999,999,999",93.01,74.72,95.48,"2,596.85",116.43,34.66,0,2.31,67.94,0,0.04,0.97,0.04,2.73,0.71,0,0,1.05,1.05,0,0,0,0,0,0,0,0.04,12.16,0.90,0,0,"16,446.74","1,370.56","1,550.38",,"1,107.95",111.16,0,0,0,3,"1,511.20","37,006.37",88.40,8.11,91.89,80.84,"16,446.74","14,716.29","1,333.97",-328.65,0,125.85,599.28,"1,370.56",3,"37,006.37",88.40,12,71.48,52,1.89,1.38,64.65,47.03,51.08,37.16,"845,494.82","16,424.56",88.28,0,"1,204.54",51.48
(주)영원통신,028520,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)영풍,000670,2018/12,-4.54,16.08,0,,-39.07,2.16,0.96,-5.25,-41.38,0,-1.56,-5.25,11.35,1.60,-2.17,,2.65,1.19,-1.33,,1.63,-1.70,,2.08,-325.35,,396.87,16.47,,,-0.79,-3.21,3.91,98.40,102.17,5.31,-3.94,-0.10,0.01,97.05,0.50,0.03,-3.81,3.75,16.66,215.43,-11.14,2.56,2.62,0,2.80,101.34,186.76,0.97,47.06,"750,176.81","21,250",,"56,764.10","947,629.25","19,285.92",0,"-16,267.62",29.89,45.08,42.63,16.42,70.11,77.46,22.54,"19,196.33",90.51,77.82,301.78,165.75,11.63,0,21.98,67.42,60.58,71.47,36.28,29.10,12.79,82.36,16.31,63.23,19.98,4.08,5.27,-12.58,"999,999,999",77.82,192.86,45.95,116.72,69.97,11.87,65.50,2.67,4.42,0,0.61,1.48,0.79,150.04,2.83,17.95,20.34,2.18,4.18,4.54,80.37,13.88,14.42,25.62,18.98,19.23,0.86,4.13,1.67,0.18,0.01,"53,836.87",81.20,"2,084.25",,55.13,10.81,0,0,0,2.36,19.93,30.31,3.90,13.31,86.69,67.90,"53,836.87","43,372.93","7,167.90","-54,408.95","3,720.42",385.37,"53,599.19",81.20,2.36,30.31,3.90,663,58.15,31.95,1.22,0.67,20.33,11.17,1.54,0.85,"1,386,197.55","23,633.59",1.71,9.92,"12,830.12",58.65
(주)영흥,012160,2018/12,-2.69,-1.88,0,,0,-4.78,-4.48,3.94,-57.80,-12.56,-5.48,18.87,6.64,8.63,-2.51,,-6.55,-1.49,-1.57,,-4.09,-2.82,,-7.38,-10.74,,-28.07,0,,,-3.36,-1.65,-4.31,91.37,102.51,-4.54,1.17,0.21,0,106.91,3.19,0.16,1.07,3.92,10.44,123.89,1.65,2.91,2.90,0,64.83,136.28,1.26,0.34,0,"2,143.62",-227,,62.95,"1,846.35",496.24,0,-53.71,34.33,39.84,52.29,20.66,65.67,55.42,44.58,371.57,118.48,96.33,107.86,64.89,7.62,0,119.11,546.71,266.92,236.32,44.62,80.43,57.44,81.80,23,509.44,2.50,28.51,51.45,-1.93,-5.01,74.02,4.96,54.21,105.66,151.44,1.17,1.83,0.52,0.81,-2.14,0.63,0.66,1.13,4.29,1.41,9.70,37.62,1.84,3.10,4.56,80.04,9.62,14.56,32.52,3.60,101.37,0.95,1.04,0.96,0,0.01,"4,276.27",11.59,498.59,,-32.64,17.38,0,0,0,1.49,2.45,11.58,2.32,149.94,-49.94,-281.64,"4,276.27","-12,969.40","6,411.89","2,157.36",496.60,320.58,"7,859.24",11.59,1.49,11.58,2.32,369,0,0,1.19,0.47,34.87,13.84,1.02,0.41,"166,338.78","3,249.35",1.77,1.36,37.86,51.19
(주)예스코홀딩스,015360,2018/12,-99.86,-85.09,-28.39,,0,0,-11.37,-56.15,-115.85,-96.84,-18.77,"1,285.62","1,126.78",11.35,2.59,,-4.50,3.21,1.03,,-1.80,1.71,,-2.97,34.13,,-59.25,0,,,-3.73,2.18,-3.79,88.65,97.41,-4.10,-4.85,1.11,0.01,101.33,3.53,0.29,-4.21,1.54,3.55,0.13,-4.90,2.96,1.72,0,93,103.20,21.33,1.14,0,"65,878.32","-4,104",,"11,140","92,460.65","1,932.85",0,"1,706.63",8.97,0,9.85,8.97,91.03,77.28,22.72,"1,872.99",117.79,103.26,75.72,75.72,72.96,0,0,0,0,0,0,29.39,15.33,0,14.07,0,-2.88,10.99,14.22,4.33,"999,999,999",79.75,19.33,63.57,186.79,16.81,44.46,91.92,10.10,18.58,0,0.40,0.84,0.66,13.18,1.01,3.26,111.93,1.57,1.58,898.52,0.41,"5,065.78",0,0,4.14,88.23,0.54,1.82,0.84,0,0,-439.54,-43.95,"39,526.99",,"-1,777.63","1,608.71",0,0,0,-0.06,-219.22,0,-0.11,0,0,0,-439.54,"-5,968.39","16,087.12","-19,174.63",286.59,"1,333.61","6,996.15",-43.95,-0.06,0,-0.11,10,0,0,0.52,0.41,4.30,3.37,0.73,0.57,"272,004.83","17,235.91",4.36,7.30,"2,872.65",15.78
(주)오뚜기,007310,2018/12,7.77,10.18,5.27,,33.85,2.06,13.85,2.29,12.54,-0.03,23.21,2.32,1.12,20.98,6.50,,6.65,9.71,8.91,,9.11,13.20,,13.51,773.85,,791.61,21,,,8.48,11.31,11.57,79.02,93.50,1.81,-0.46,0.04,2.77,91.89,5.57,0.11,-0.49,2.22,9.46,63.55,-1.94,1.69,2.13,0,71.26,109.30,141.14,2.31,18.25,"609,630.69","41,325",,"47,474.33","306,602.02","6,662.95",0,"39,621.63",39.69,20.58,65.81,31.52,60.31,66.43,33.57,"6,097.14",90.78,79.94,161.64,128.37,15.73,0,107.49,53.98,63.83,166.23,168.40,50.53,36.96,41.60,13.57,59.55,15.14,9.21,13.86,53.06,"999,999,999",72.60,66.63,29.87,43.10,60.49,22.79,83.11,7.65,6.04,0,1.37,1.74,2.03,119.07,4.21,9.68,37.71,3.35,4.26,15.67,23.29,25.27,60.27,"6,825.03",13.76,26.53,2.32,3.40,2.04,0.05,0.08,"326,668.55",106.03,680.67,,45.25,35.68,0,0,0,19.74,56.79,124.41,15.58,33.65,66.35,42.68,"326,668.55","174,318.40","109,915.53","-9,681.41","6,185.45","2,181.87","43,748.73",106.03,19.74,124.41,15.58,"3,081",22.48,15.96,2.97,2.11,19.19,13.63,1.49,1.06,"2,659,184.88","180,047.13",8.59,70.09,"52,339.28",14.77
(주)오라바이오틱스,016160,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)오리온,271560,2018/12,0,0,0,,0,0,0,0,0,0,0,0,0,46.89,12.95,,9.94,7.94,7.92,,6.08,13.21,,10.14,466.49,,357.99,28.22,,,6.86,10.96,8.41,53.11,87.05,0.08,1.27,-0.01,2.40,87.20,17.94,0.91,1.43,6.16,7.58,76.20,1.94,2.78,2.78,0,11.23,97.28,119.98,3.40,33.51,"18,007.56","1,790",,"3,106.97","16,190.06","3,433.67",0.11,"2,332.48",13.69,28.25,15.86,9.82,86.31,59.97,40.03,"3,530.61",143.91,99.06,106.35,76.31,22.16,0,166.78,473.41,316.23,508.46,52.74,66.74,21.47,15.99,45.27,"3,323.85",0.82,28.60,47.69,9.97,11.26,58.33,34.34,22.38,141.08,118.21,26.37,36.90,10.56,17.25,10.19,0.61,0.85,1.02,36.01,1.53,29.99,12.17,4.47,6.23,15.82,23.07,48.23,48.07,213.97,9.49,38.48,0.71,1.10,2.30,0,0.02,"266,413.50",153.73,410.79,,40.83,65.49,0,0,0,22.89,41.26,106.28,37.42,42.60,57.40,26.56,"266,413.50","92,812.43","113,492.43","9,048.97","6,333.39","5,768.17","38,958.11",153.73,22.89,106.28,37.42,"1,733",89.39,46.98,9.88,5.19,51.50,27.07,8.89,4.67,"5,041,615.76","131,169.24",18.43,14.19,"3,317.93",38.44
(주)오리온홀딩스,001800,2018/12,5.22,-12.68,0,,-98.97,0,0.15,93.50,"50,904.94",-99.64,0.61,"53,001.15","16,379.42",0,58.08,,87.10,0.82,0.80,,1.20,0.80,,1.20,48.79,,73.16,26.59,,,1.19,30.88,46.30,0,41.92,53.28,-0.61,0.01,0,28.21,45.38,16.65,-1.38,7.03,13.20,6.12,-2.14,0,0,0,1.55,98.99,68.69,1.13,93.89,419.97,381,,260.88,"30,073.76","6,021.47",0,243.93,1.40,0,1.42,1.40,98.60,99.48,0.52,"6,084.35",99.11,99.01,339.17,339.17,86.45,0,0,0,0,0,0,0.52,0.41,0,0.10,10.52,0.99,0,0,63.60,"999,999,999",98.46,60.21,109.12,"7,157.63",180.81,268.24,0,1.38,100.71,0,0.01,0.53,0.01,0.84,3.54,0,0,0.92,0.92,0,0,0,0,0,9.93,36.74,0.01,58.69,0.76,0.10,0.03,"37,089.63","5,298.52","3,758.42",,"3,273.69",746.30,0,0,0,1.94,"8,069.31",0,140.98,14.09,85.91,61.79,"37,089.63","29,297.87","5,224.10",-159.19,0,"1,916.99",809.86,"5,298.52",1.94,0,140.98,7,81.60,40.87,0.99,0.50,114.42,57.31,71.08,35.60,"1,048,077.64","16,090.43",61.16,66.97,256.85,65.14
(주)온미디어,045710,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)와이지플러스,037270,2018/12,-31.41,25.91,0,,0,10.20,1.24,107.88,0,15.07,-1.70,80.66,36.62,24.73,-0.90,,0.87,0.30,-0.33,,0.32,-0.35,,0.34,-1.21,,1.16,0,,,-0.26,-1.08,1.04,75.27,100.90,-1.89,-1.58,-0.08,0.10,102.50,12.20,0,-1.38,1.14,10.91,21.06,-9.13,0,0,0,-5.68,69.90,0,0,0,675.08,6,,58.68,"1,671.18",243.16,0,-6.07,27.85,6.29,38.61,26.10,72.15,92.08,7.92,343.16,78.35,76.49,491.06,460.19,11.50,0,160.96,7.89,70.54,160.96,228.16,8.60,6.16,0,2.44,10.11,22.18,0,0,-7.51,"999,999,999",65.25,2.43,69.44,202.23,93.84,18.59,0,1.47,4.09,0,0.37,1.20,0.39,1.34,5.77,14,26.06,1.44,1.54,21.55,16.94,21.55,0,0,13.88,26.30,0.49,28.76,1.24,0.05,0.06,"4,907.29",58.42,474.29,,4.11,66.21,0,0,0,4.43,435.43,593.90,12.32,113.33,-13.33,7.03,"4,907.29","-1,110.45","5,561.30",-630.24,566.99,0,519.70,58.42,4.43,593.90,12.32,84,467.98,316.55,1.64,1.11,46.61,31.53,4.05,2.74,"113,668.98",161.23,0.40,3.38,2.73,705.01
(주)우생,028570,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)우성사료,006980,2018/12,8.02,14.75,0,,0,30.54,-4.30,3.96,-34.70,0.35,9.29,3.60,-0.98,16.36,-1.42,,-1.86,-1.05,-1.50,,-1.96,-2.42,,-3.18,-23.87,,-31.28,0,,,-1.84,-2.12,-2.78,83.64,101.42,-0.49,0.12,-0.58,0,101.89,4.22,0,0.11,1.62,11.15,117.39,0.33,2.30,3.15,0,24.72,93.66,0,0,0,"8,412.96",-188,,-301.88,"4,814.48",897.91,0,-119.36,48.24,32.73,93.20,32.45,51.76,57.25,42.75,963.29,90.42,77.47,145.34,97.78,18.82,0,113.38,104.90,363.55,"1,242.68",31.19,74.68,57.98,75.63,16.71,63.55,15.05,23.68,41.37,-2.60,-15.15,53.36,8.98,45.14,49.56,76.85,-2.55,-4.60,-1.09,-1.09,-11.98,1.06,1.50,1.71,16.83,2.76,20.76,17.58,2.22,3.20,7.17,50.89,68.23,8.44,269.29,5.70,64.07,2.02,3.64,1.33,0,0.01,"10,999.02",38.73,915.35,,-17.02,39.86,0,0,0,4.23,14.83,43.34,4.23,102.93,-2.93,-43.93,"10,999.02","-4,972.70","11,321.09",307.94,0,0,"4,342.69",38.73,4.23,43.34,4.23,284,0,0,0.97,0.42,0,0,0.55,0.24,"112,272.65",654.55,0.25,0.46,21.18,171.53
(주)우신시스템,017370,2018/12,-2.58,15.33,-34.31,,-36.73,90.22,1.70,38.42,-0.36,-2.40,-1.73,41.82,0.09,7.19,1.95,,1.85,1.98,1.70,,1.61,2.69,,2.55,32.08,,30.47,19.50,,,1.71,2.30,2.19,92.81,98.05,0.12,0.11,0.85,0,97.98,2.10,0.23,0.11,2.06,17.22,0,0.27,2.11,2.73,100,18.55,80.93,1.82,0.15,5.97,"8,223.45",168,,"-1,409.53","5,938.14","1,158.25",1.18,160.40,40.30,1.24,67.52,39.80,59.70,62.37,37.63,"1,202.72",95.72,83.06,143.26,141.48,4.03,0,"6,385.71",4.12,397.40,"17,217.99","1,606.87",60.34,45.11,68.66,15.23,78.06,12.17,17.43,27.95,4.53,19.32,60.06,11.58,44.12,70.61,87.44,-13.35,-28.82,-5.02,-5.89,17.27,0.87,1.18,1.38,16.45,2.37,10.10,36.14,2.27,2.29,223.15,1.64,571.61,372.18,0,3.47,105.26,1.42,2.50,1.34,0,0.01,"9,915.66",34.79,528.44,,9.79,11.14,0,0,0,5.61,16.84,310.61,6.58,32.01,67.99,28.14,"9,915.66","3,115.59","3,174.23",170.07,0,350.72,"3,105.06",34.79,5.61,310.61,6.58,285,65.63,36.23,1.68,0.93,0,0,1.22,0.67,"149,886.89","6,042.72",4.01,9.32,329.95,24.80
(주)우진,105840,2018/12,0.12,-9.89,0,,0,-35.35,-1.37,-7.80,0,-18.30,31.31,12.85,2.18,24.40,0.79,,-10.13,0.75,0.22,,-2.77,0.32,,-4.06,3.83,,-49.10,0,,,-2.26,0.33,-4.21,75.60,99.21,-14.29,1.86,-0.03,0.04,111.96,8.25,0.19,1.47,2.21,6.41,72.44,1.60,2.99,4.08,0,-16.89,70.12,0,0,0,"2,437.17",-253,,247.24,"5,998.20","1,125.74",5.08,19.24,21.57,27.26,27.51,15.69,78.43,62.18,37.82,"1,193.55",126.12,96.22,116.67,84.87,5.34,0,56.89,190.79,202.30,282.29,28.12,60.82,29.73,45.06,31.08,627.02,3.08,32.08,51.59,0.21,-6.26,58.65,11.26,90.55,274.88,235.80,12.95,15.26,4.90,19.48,0.42,0.27,0.42,0.40,4.85,0.86,13.22,27.62,1.10,1.65,3.36,108.77,21.12,6.06,42.92,6.93,52.70,0.36,0.66,0.66,0,0.01,792.18,6.34,338.47,,-34.27,35.33,0,0,0,0.47,1.26,213.94,1.87,557.44,-457.44,-540.82,792.18,"-5,713.55","4,415.93",786.52,16.11,103.95,"1,183.23",6.34,0.47,213.94,1.87,125,0,0,1.79,0.64,43.48,15.41,4.41,1.56,"135,932.31","1,517.20",3.59,0.94,87.40,89.59
(주)우진아이엔에스,010400,2018/12,24.36,41.25,-21.03,,-14.24,66.52,41.70,-5.32,0,0,-10.23,0,0,17.41,13.60,,10.86,16.91,16.45,,13.14,19.44,,15.52,522.66,,417.42,23.95,,,12.69,18.70,14.93,82.59,86.40,0.55,-0.37,0.21,0,85.97,2.84,0.15,-0.43,0.51,6.10,52.41,-2.93,0,0,0,73.33,95.63,80,2.79,21.10,"213,711.08","2,172",,"32,208.19","166,210.21","2,763.23",0,"29,073.02",77.53,8.91,345.07,70.62,22.47,89.27,10.73,"2,863.23",25.17,24.84,813.53,741.02,32.21,0,197.68,10.16,440.42,0,44.88,12.01,10.68,0,1.34,1.76,68,0,0,"1,320.48","999,999,999",86.16,27.63,60.86,21.83,84.07,71.69,0,7.69,7.07,0,1.21,1.37,1.43,38.42,7.87,32.14,11.36,1.64,1.79,19.67,18.55,0,24.92,93.41,5.21,70.10,4.58,10.78,1.38,0,0.01,"22,683.63",140.89,825.91,,89.73,20.31,0,0,0,18.56,169.88,720.09,17.06,14.42,85.58,63.69,"22,683.63","18,823.06","3,270.20",-495.47,319.08,174.08,592.69,140.89,18.56,720.09,17.06,161,1.08,0.38,0.15,0.05,0.78,0.27,0.12,0.04,"45,311.50","18,681.92",14.05,"1,363.74","30,025.59",2.43
(주)우진플라임,049800,2018/12,-4.09,-14.66,0,,0,0.61,-17.68,-24.91,-41.99,-9.59,-3.47,-16.94,2.50,18.81,-6.97,,-8.17,-3.91,-3.95,,-4.63,-15.80,,-18.53,-239.03,,-280.44,0,,,-2.70,-4.01,-4.71,81.19,106.97,-1.74,3.40,0.41,0.69,108.50,8.37,0.20,3.06,5.93,8.09,44.59,2.57,3.84,3.76,0,69.13,92.65,0,0,0,"17,158.62","-1,402",,"1,214.50","6,771.89","1,266.48",4.08,"-1,195.16",41.01,50.51,69.52,20.29,58.99,23.59,76.41,"1,366.48",250.08,91.33,115.82,57.32,2.62,0,88.80,369.80,152.48,351.28,58.23,323.92,150.10,31.97,173.82,731.98,5.60,53.34,226.10,-2.01,-1.56,21.86,12.66,75.17,101.37,166.26,-0.37,-0.53,-0.28,-0.47,-2.05,0.57,0.58,2.27,34.32,0.76,4.73,77.14,1.33,2.48,2.87,127.24,11.04,7.52,8.31,2.73,133.81,0.99,1.02,0.62,1.16,0.01,"19,106.44",28.95,259.98,,-21.25,24.17,0,0,0,6.60,11.62,80.34,11.14,83.49,16.51,-73.39,"19,106.44","-14,938.33","15,952.40","5,831.70",582.10,376.29,"11,302.28",28.95,6.60,80.34,11.14,660,0,0,1.34,0.55,7.48,3.09,0.53,0.22,"203,574.91",-649.32,-0.38,-0.11,-64.93,0
(주)웅진,016880,2018/12,304.63,-45.75,0,,0,"3,455.09",-31.58,22.39,-280.85,46.78,-1.05,-16.62,46.31,23.62,-35.53,,-73.20,-7.75,-8.24,,-16.97,-17.47,,-36,-141.99,,-292.51,0,,,-15.78,-20.41,-42.05,76.38,135.53,-42.11,5.15,-0.03,6.13,170.82,7.61,0.29,2.75,1.27,15.24,0,2.26,25.08,21.50,0,54.99,82.24,0,0,0,"2,142.17","-1,570",,-682.88,"3,417.58",559.45,1.47,-761.18,25.31,6.11,33.89,23.76,74.69,42.54,57.46,654.02,175.57,160.73,47.28,44.39,16.93,0,222.37,0,301.72,791.98,73.70,135.07,125.83,0,9.23,0,-28.22,7.44,17.49,-4.90,-14.09,36.39,5.59,139.76,291.64,141.08,-5.28,-40.79,-3.04,-11.79,-6.90,0.23,0.57,0.49,4,0.44,25.93,14.08,0.72,0.73,32.40,11.26,107.85,0,46.32,5.05,72.34,0.34,12.38,0.28,0.09,0.01,"-82,646.41",-86.36,162.68,,-119.08,23.17,0,0,0,-13.67,-410.67,0,-53.09,0,0,0,"-82,646.41","-120,880.56","22,175.76","8,013.26","3,511.02",844.75,"3,689.37",-86.36,-13.67,0,-53.09,957,0,0,1.60,0.57,0,0,2.55,0.91,"172,794.50","-51,631.12",-33.16,-4.58,-710.42,0
(주)웅진씽크빅,095720,2018/12,-14.67,33.69,-1.53,,-19.18,4.20,4.97,2.90,8.75,-10.90,1.18,15.49,14.08,57.05,5.28,,3.46,5.85,5.67,,3.72,10.84,,7.11,192.61,,126.29,35.26,,,4.01,5.97,3.92,42.95,94.72,-0.50,0.27,0.01,1.41,95.29,14.92,0.59,0.28,3.40,18.35,78.66,0.61,1.48,1.99,0,32.65,98.45,0,0,0,"18,229.69",662,,"1,079.02","7,769.88","1,801.73",0.01,963.07,70.69,5.97,241.23,66.47,29.31,48.72,51.28,"1,819.33",60.15,57.85,143.28,134.72,32.35,0,504.25,19.78,"2,921.71",623.96,17.26,105.25,101.27,0,3.98,9.08,21.35,28.62,58.74,12.21,18.65,48.25,18.02,63.28,29.84,97.75,14.53,26.03,7.45,7.63,19.51,1.07,1.13,2.05,36.46,2.25,125.34,2.91,1.58,1.69,23.59,15.47,29.38,0,119.85,4.49,81.37,3.35,9.30,0.95,0,0.01,"175,272.98",79.45,286.10,,9.91,41.26,0,0,0,27.11,280.58,0,27.77,51.93,48.07,12.47,"175,272.98","30,162.31","91,022.01","1,709.08","28,009.95","3,608.74","20,760.88",79.45,27.11,0,27.77,"2,206",12.30,4.16,1,0.34,7.20,2.44,0.43,0.14,"130,476.01","54,103.31",8.57,19.81,"1,562.72",2.41
(주)원림,005820,2018/12,0.07,-2.84,0,,0,22.94,-2.21,-0.63,-94.72,83.78,1.56,-45.93,-50.60,2.66,-3.02,,-1.82,-0.52,-1.60,,-0.96,-2.03,,-1.22,-13.20,,-7.93,0,,,-1.86,-4.10,-2.46,97.34,103.02,0.63,-1.72,-1.27,0,102.34,2.23,0.05,-1.64,2.23,10.07,79.03,-4.28,1.39,1.53,0,55.31,91,0,0,0,"21,821.11",-445,,-36.64,"31,625.45",556.66,0,-659.92,17.40,52.55,21.07,8.26,82.60,77.63,22.37,644.32,106.40,99.61,101.89,48.34,6.62,0,76.43,"2,839.02",193.77,178.97,39.45,28.81,22,0,6.81,"1,641.46",0.32,12.40,15.98,-9.22,"999,999,999",67.07,5.57,33.58,155.88,75.50,-2.38,-4.28,-0.53,-1.01,0,0.53,1.36,0.67,4.36,2.49,15.27,23.91,2.98,5.62,6.34,57.56,14.48,87.50,0,7.50,48.66,0.64,2.52,1.57,0,0.01,293.24,4.31,705.98,,-12.82,16.51,0,0,0,0.32,1.54,5.94,0.61,382.84,-282.84,-297.30,293.24,"-1,150.97","1,122.63",-824.12,0,22.86,"1,122.84",4.31,0.32,5.94,0.61,68,0,0,0.98,0.55,0,0,1.42,0.80,"51,301.28",-329,-0.69,-2.09,-149.54,0
(주)위스컴,024070,2018/12,2.61,-9.99,0,,81.30,-6.58,0.49,-4.08,28.44,2.82,12.58,-6.71,5.44,4.17,-0.56,,0.88,0.21,-0.45,,0.70,-0.49,,0.77,-7.57,,11.95,18.59,,,0.05,-0.49,0.78,95.83,100.56,1.56,-0.81,0.49,0,99.02,1.63,0.08,-0.80,2.74,8.94,154.67,-7.71,0,0,0,4.45,93.16,2,0.13,0,"6,794.55",60,,195.66,"7,724.41","1,459.46",0.69,-37.85,55.66,8.63,125.54,50.86,44.34,92.35,7.65,"1,559.46",48.01,46.99,984.74,899.79,3.48,0,377.02,9.60,693.86,553.46,54.34,8.28,6.12,0,2.16,3.99,50.01,0,0,-340.80,"999,999,999",86.43,14.59,73,52.02,109.91,42.75,0,3.27,4.06,0,0.80,0.89,0.87,13.59,9.49,26.68,13.68,1.37,1.50,16.19,22.55,24.19,57.44,0,4.48,81.53,1.92,2.59,1.23,0,0.01,"4,783.83",18.76,400.37,,3.52,6.60,0,0,0,3.77,12.04,30.44,4.69,35.20,64.80,18.76,"4,783.83","1,019.28","1,683.77",-829.82,0,83.17,"2,827.42",18.76,3.77,30.44,4.69,255,69.48,40.10,0.54,0.31,21.21,12.24,0.61,0.35,"38,863.94","2,258.62",2.21,"1,353.28",150.31,17.21
