회사명,거래소코드,회계년도,유형자산증가율,유동자산증가율,영업이익증가율,경상이익증가율 (2007년 이전 발생),순이익증가율,재고자산증가율,자기자본증가율,매출액증가율,종업원1인당 부가가치증가율,종업원수증가율,비유동자산증가율,종업원1인당 매출액증가율,종업원1인당 인건비증가율,매출액총이익률,매출액영업이익률,매출액경상이익률 (2007년 이전 발생),매출액순이익률,총자본사업이익률,총자본영업이익률,총자본경상이익률 (2007년 이전 발생),총자본순이익률,자기자본영업이익률,자기자본경상이익률 (2007년 이전 발생),자기자본순이익률,자본금영업이익률,자본금경상이익률 (2007년 이전 발생),자본금순이익률,조세 대 조세차감전순이익률,기업경상이익률 (2007년 이전 발생),투자수익률 (2007년 이전 발생),기업순이익률,경영자본영업이익률,경영자본순이익률,매출원가 대 매출액비율,영업비율,영업외손익률,금융비용부담률,외환이익 대 매출액비율,광고선전비 대 매출액비율,수지비율,인건비 대 총비용비율,조세공과 대 총비용비율,금융비용 대 총비용비율,감가상각비 대 총비용비율,감가상각률,누적감가상각률,이자부담률,지급이자율,차입금평균이자율,사내유보율,사내유보 대 자기자본비율,적립금비율(재정비율),평균배당률,자기자본배당률,배당성향,1주당매출액(원),EPS(Earning Per Share)(원),1주당경상이익 (2007년 이전 발생)(원),CPS(Cash flow Per Share)(원),BPS(Book-value Per Share)(원),유보율,R & D 투자효율,1주당영업이익(원),유동자산구성비율,재고자산 대 유동자산비율,유동자산 대 비유동자산비율,당좌자산구성비율,비유동자산구성비율,자기자본구성비율,타인자본구성비율,자기자본배율,비유동비율,비유동장기적합률,유동비율,당좌비율,현금비율,원재료비율,매출채권비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,매출채권 대 상,제품비율,매입채무 대 재고자산비율,부채비율,유동부채비율,단기차입금 대 총차입금비율,비유동부채비율,비유동부채 대 순운전자본비율,순운전자본비율,차입금의존도,차입금비율,이자보상배율(이자비용),이자보상배율(순금융비용),유보액대비율,유보액 대 납입자본배율,유동자산집중도,비유동자산집중도,투자집중도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,영업이익대비이자보상배율,총자본회전률,경영자본회전률,자기자본회전률,자본금회전률,타인자본회전률,매입채무회전률,매입채무회전기간,유동자산회전률,당좌자산회전률,재고자산회전률,재고자산회전기간,상품,제품회전률,원,부재료회전률,재공품회전률,매출채권회전률,매출채권회전기간,비유동자산회전률,유형자산회전율,순운전자본회전률,운전자본회전률,1회전기간,부가가치(백만원),종업원1인당 부가가치(백만원),종업원1인당 매출액(백만원),종업원1인당 경상이익 (2007년 이전 발생)(백만원),종업원1인당 순이익(백만원),종업원1인당 인건비(백만원),노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,부가가치(백만원),법인세비용차감전(계속사업)손익(백만원),인건비(백만원),금융비용(백만원),임차료(백만원),조세공과(백만원),감가상각비(백만원),종업원1인당 부가가치(백만원),총자본투자효율,기계투자효율,부가가치율,종업원수,PER(Price earnings ratio)(최고),PER(Price earnings ratio)(최저),PBR(Price book-value ratio)(최고),PBR(Price book-value ratio)(최저),PCR(Price cash-flow ratio)(최고),PCR(Price cash-flow ratio)(최저),PSR(Price sales ratio)(최고),PSR(Price sales ratio)(최저),기업가치(EV)(백만원),EBITDA(백만원),EBITDA/매출액(%),EBITDA/금융비용(배),EBITDA/평균발행주식수(백만원),EV/EBITDA(배)
(주)DB Inc.,012030,2014/12,-8.07,-29.47,0,0,0,-15.68,-57.55,-46.13,-4665.28,-12.59,-51.33,-38.36,-13.55,11.56,-5.39,0,-48.51,-2.28,-3.01,0,-27.08,-8.26,0,-74.29,-16.77,0,-150.79,0,0,0,-24.52,-5.35,-48.15,88.44,105.39,-57.95,4.58,0.17,0.04,161.76,2.94,0.13,2.76,1.3,9.94,48.82,4.02,12.8,8.63,0,-94.7,40.17,0,0,0,15542.22,-7984,0,1223.47,4721.95,52.35,0,-838.38,36.62,7.7,57.77,33.8,63.38,30.65,69.35,120.98,206.8,191.85,54.68,50.47,2.12,0,423.73,0,95.88,675.73,441.94,226.27,218.48,98.58,7.79,0,-30.34,36.18,118.03,-0.92,-12.84,13.26,0.52,56.21,122.92,91.89,6.48,12.41,4.49,5.7,-1.18,0.56,0.99,1.53,3.11,0.88,3.85,94.91,1.78,1.91,25.55,14.29,37.5,207.91,0,3.23,113.08,0.81,4.47,0.6,0.04,0.03,-143451.45,-175.15,345.62,0,-167.66,16.86,74.03,6.04,438.88,-39.91,-236.59,-2900.13,-50.68,0,0,0,-143451.45,-179309.64,13810.17,12958.55,2376.11,623.72,6089.66,-175.15,-39.91,-2900.13,-50.68,819,0,0,1.1,0.41,4.25,1.6,0.33,0.13,172957.53,-9179.53,-3.24,-0.55,-504.02,0
(주)DB하이텍,000990,2014/12,-6.94,10.79,0,0,0,-4.42,-31.01,14.98,16.48,-6.68,-8.65,23.21,4.11,24.11,7.98,0,-10.27,4.6,4.42,0,-5.69,27.18,0,-34.99,20.36,0,-26.2,0,0,0,0.73,5.11,-6.58,75.89,92.02,-19.74,11.59,-0.38,0,111.47,3.52,0,10.15,12.63,15.78,263.62,7.66,10.27,10.25,0,-98.57,-4.46,0,0,0,12754.51,-1450,0,1064.06,1668.22,-3.23,7.36,1017.96,24.58,28.09,32.6,17.68,75.42,13.58,86.42,61.16,555.2,120.75,65.48,47.09,15.95,0,117.85,0,226.88,1577.31,51.95,636.17,276.37,40.52,359.8,0,-12.96,65.71,483.77,0.67,-0.01,-0.72,-0.03,41.27,139.4,153.14,4.38,5.76,3.79,6.68,0.69,0.55,0.64,3.41,2.55,0.66,17.37,21.01,2.42,3.47,8.02,45.51,145.53,20.37,16.96,8.07,45.21,0.72,0.93,0.86,0,0.01,105746.46,52.9,284,0,-29.17,11.43,275.62,68.42,501.23,10.55,19.19,77.31,18.63,21.6,78.4,-55.15,105746.46,-66734.08,22841,65819.53,1902,0,81918,52.9,10.55,77.31,18.63,1999,0,0,5.25,2.02,8.22,3.17,0.69,0.26,827169.61,127228.51,22.41,1.88,2858.35,6.5
(주)HJ 매그놀리아 용평 호텔 앤 리조트,070960,2014/12,1.05,138.21,12.96,0,-67.31,120.13,6.2,-7.62,0,0,1.04,0,0,21.99,12.89,0,2.95,2.27,2.22,0,0.51,5.87,0,1.34,9.05,0,2.07,28.26,0,0,2.52,2.22,0.51,78.01,87.11,-8.87,11.72,0,1.67,96.12,2.89,0.09,11.78,10.35,4.75,74.49,3.23,8.64,10.44,0,37.28,37.28,0,0,0,3508.17,103,0,1061.51,7852.36,58.65,0,452.27,15.91,7.95,18.92,14.64,84.09,36.89,63.11,158.65,227.96,130.09,44.99,41.41,37.57,0,302.12,0,1546.43,607.21,19.54,171.07,95.84,95.4,75.23,0,-19.45,22.69,61.5,1.07,1.34,13.64,0.59,69.21,512.79,611.69,6.8,18.9,4.29,26.29,1.1,0.17,0.17,0.46,0.7,0.28,64.46,5.66,1.44,1.57,17.74,20.58,28.58,219,0,5.61,65.11,0.2,0.2,0.43,0,0.01,38937.22,0,0,0,0,0,0,0,0,4.77,5.71,147.83,29.21,9.85,90.15,10.09,38937.22,5356.7,3836.51,15623.05,277.43,119.96,13723.57,0,4.77,147.83,29.21,0,0,0,0,0,0,0,0,0,136547.21,30909.69,23.19,1.93,813.41,4.42
(주)LG데이콤,015940,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)LG파워콤,045820,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)MH에탄올,023150,2014/12,5.74,8.31,-9.36,0,0,14.64,11.43,5.8,0,3.92,-40.78,1.81,-6.5,24.24,17.86,0,9.43,8.72,8.42,0,4.45,17.56,0,9.27,194.28,0,102.58,-2.85,0,0,5.64,12.55,6.62,75.76,82.14,-9.15,2.54,0,0.14,91.46,4.32,0.49,2.73,1.81,5.39,98.35,2.3,5.29,3.08,100,82.1,91.25,32.1,2.81,31.95,6638.69,640,0,694.69,6296.3,1042.28,0,1185.44,32.87,24.94,48.95,24.67,67.13,61.59,38.41,1142.28,109,106.71,88.61,66.52,0.02,0,148.57,0,0,5468.83,0,62.36,60.22,97.51,2.15,0,-4.22,34.49,56.01,5.62,4.43,56.2,10.42,55.01,157.08,147.84,16.44,18.3,6.31,10.99,7.03,0.47,0.7,0.98,10.88,0.91,0,0,1.82,2.4,7.49,48.74,84.89,15.75,175.71,4.66,78.41,0.64,1.4,0.64,0.08,0.01,8557.19,161.46,924.22,0,87.14,37.17,671.64,31.87,1608.56,10.04,24.04,506.64,17.47,23.02,76.98,53.97,8557.19,4264.86,1970.18,1244.98,23.89,225.67,827.61,161.46,10.04,506.64,17.47,53,17.89,4.54,1.78,0.45,16.12,4.09,1.69,0.43,84299.5,9574.42,19.55,6.15,1297.61,8.8
(주)S&TC,100840,2014/12,-0.25,-5.96,-18.01,0,-30.42,-0.26,4.82,20.92,-16.98,4.31,2.8,15.93,12.48,16.12,5.68,0,4.64,4.83,4.47,0,3.66,6.79,0,5.55,388.95,0,317.99,23.99,0,0,3.41,4.57,3.73,83.88,94.32,0.42,-0.31,1.54,0,94.14,4.02,0.01,-0.32,0.94,8.97,77.49,-0.72,6.06,6.25,0,75.09,98.18,0,1.71,31.45,34263.96,1590,0,-3496.92,28251.49,5763.77,0.43,1944.73,55.99,10.41,127.22,50.16,44.01,68.21,31.79,5863.77,64.52,58.81,222.54,199.37,22.87,0,277.15,18.9,158.47,0,174.9,46.6,36.88,110.6,9.72,21.5,30.83,1.82,2.66,41.09,999999999,67.05,57.64,72.46,54.46,121.97,-2.4,-42,-0.76,-0.96,0,0.79,0.8,1.2,68.53,2.31,7.05,51.8,1.38,1.54,13.66,26.72,0,13.79,0,5.39,67.76,1.84,2.02,0.93,0.08,0.02,26111.44,119.78,1113.52,0,51.67,43.86,550.41,19.18,1396.84,8.57,21.76,624.47,10.76,36.62,63.38,43.14,26111.44,14794.97,9561.78,-755.69,256.44,24.64,2229.3,119.78,8.57,624.47,10.76,218,11.57,9.28,0.65,0.52,0,0,0.54,0.43,75287.25,16006.95,6.59,47.74,2259.4,4.7
(주)S&T홀딩스,036530,2014/12,38.12,-4.33,-13.83,0,-14.05,0,0.51,-12.74,-15.06,0,1.16,-12.74,-12.38,0,77.46,0,89.48,1.81,1.5,0,1.73,1.5,0,1.73,77.87,0,89.95,6.06,0,0,1.42,12.32,14.24,0,22.54,17.79,-15.96,0,0.42,19.13,74.99,0,-70.8,4.3,48.78,0,-283.86,0,0,0,70.78,98.23,41.78,0.8,43.21,516.09,462,0,458.85,26512.18,5113.29,0,399.78,11.79,0,13.37,11.79,88.21,99.9,0.1,5205.93,88.29,88.26,19138.35,19138.35,20.64,0,0,0,0,0,0,0.1,0.06,0,0.03,0.29,11.73,0,0,999999999,999999999,98.13,51.13,625.12,4546.22,616.89,1942.54,0,1.86,96.19,0,0.02,0.16,0.02,1.01,17.79,0,0,0.16,0.16,0,0,0,0,0,12.49,29.22,0.02,118.47,0.16,0.08,0.03,7523.52,940.44,962.74,0,861.45,162.71,9.43,0,49905.55,1.88,9975.62,0,97.68,17.3,82.7,91.6,7523.52,7335.97,1301.68,-1228.85,40.13,0,74.59,940.44,1.88,0,97.68,8,47.42,31.29,0.83,0.55,47.73,31.49,42.43,28,282783.15,6040.71,78.43,0,404.78,46.81
(주)SH에너지화학,002360,2014/12,-2.74,-3.96,181.47,0,221.57,16.36,19.52,-1.22,78.88,20.69,2.68,-18.16,-15.28,13.28,8.93,0,6.86,19.2,18.51,0,14.21,26.47,0,20.33,36.37,0,27.93,21.88,0,0,14.25,22.55,17.32,86.72,91.07,-0.18,0.02,0.14,0.01,91.34,1.74,0.03,0.02,1,7.34,93.02,0.12,8.33,4.25,0,26.39,33.96,8.95,5.98,32.05,2042.21,140,0,217.92,691.41,50.98,0.05,182.42,50.86,25.05,103.5,38.12,49.14,76.45,23.55,149.63,64.28,60.46,271.71,203.65,12.09,0,215.24,39.63,1365.88,337.51,15.76,30.81,24.48,0,6.32,15.04,32.14,8.77,11.47,25.43,502.17,26.05,0.51,24.95,23.31,38.84,61.73,165.75,14.54,6.99,511.66,2.07,2.52,2.96,4.07,6.89,94.9,3.85,4.01,5.19,17.57,20.78,29.74,48.22,405.39,7.48,48.79,4.29,7.2,2.69,0,0.02,25917.69,185.13,1621.22,0,111.21,26,216.82,90.48,779.27,23.76,85.38,204.61,11.42,14.04,85.96,60.07,25917.69,19858.8,3639.83,39.63,210.64,71.85,2096.95,185.13,23.76,204.61,11.42,140,15.13,5.05,3.07,1.02,9.73,3.25,1.04,0.35,192898.56,22371.46,9.86,28.06,201.29,8.62
(주)SIMPAC,009160,2014/12,9.85,10.8,-21.08,0,-46.77,24.57,3.03,11.23,-39.77,10.11,-13.16,1.02,-3.41,17.21,8.24,0,4.49,6.62,5.52,0,3.01,9.33,0,5.09,128.84,0,70.27,22.63,0,0,2.5,8.59,4.69,82.79,91.76,-2.43,-0.76,0.39,0.08,94.36,3.23,0,-0.78,1.53,9.87,67.79,-1.24,6.56,4.16,0,11.14,91.28,14.86,1.06,21.15,7821.64,378,0,999.19,6901.02,1315.62,0,644.21,35.84,27.02,55.87,26.16,64.16,61.92,38.08,1402.13,103.62,99.08,101.68,74.21,15.38,0,203.85,1630.89,165.16,437.36,123.43,61.51,56.93,91.89,4.58,477.13,0.59,9.36,15.12,9.26,999999999,58.1,13.16,49.36,99.91,82.49,16.25,66.11,6.19,8.96,0,0.67,1.04,1.13,15.64,1.64,5.84,62.51,2.03,2.72,7.91,46.13,17.46,54.79,21.86,3.36,108.49,1,3.37,0.96,0.18,0.01,22163.73,72.67,745.87,0,33.5,23.36,223.93,42.75,1079.76,6.73,32.45,169.97,9.74,32.15,67.85,46.1,22163.73,13208.15,7125.91,-1725.14,166.02,0,3388.79,72.67,6.73,169.97,9.74,305,21.72,14.17,1.11,0.72,7.64,4.98,0.98,0.64,161602.84,22125.59,9.73,10.94,760.72,7.3
