회사명,거래소코드,회계년도,유형자산증가율,유동자산증가율,영업이익증가율,경상이익증가율 (2007년 이전 발생),순이익증가율,재고자산증가율,자기자본증가율,매출액증가율,종업원1인당 부가가치증가율,종업원수증가율,비유동자산증가율,종업원1인당 매출액증가율,종업원1인당 인건비증가율,매출액총이익률,매출액영업이익률,매출액경상이익률 (2007년 이전 발생),매출액순이익률,총자본사업이익률,총자본영업이익률,총자본경상이익률 (2007년 이전 발생),총자본순이익률,자기자본영업이익률,자기자본경상이익률 (2007년 이전 발생),자기자본순이익률,자본금영업이익률,자본금경상이익률 (2007년 이전 발생),자본금순이익률,조세 대 조세차감전순이익률,기업경상이익률 (2007년 이전 발생),투자수익률 (2007년 이전 발생),기업순이익률,경영자본영업이익률,경영자본순이익률,매출원가 대 매출액비율,영업비율,영업외손익률,금융비용부담률,외환이익 대 매출액비율,광고선전비 대 매출액비율,수지비율,인건비 대 총비용비율,조세공과 대 총비용비율,금융비용 대 총비용비율,감가상각비 대 총비용비율,감가상각률,누적감가상각률,이자부담률,지급이자율,차입금평균이자율,사내유보율,사내유보 대 자기자본비율,적립금비율(재정비율),평균배당률,자기자본배당률,배당성향,1주당매출액(원),EPS(Earning Per Share)(원),1주당경상이익 (2007년 이전 발생)(원),CPS(Cash flow Per Share)(원),BPS(Book-value Per Share)(원),유보율,R & D 투자효율,1주당영업이익(원),유동자산구성비율,재고자산 대 유동자산비율,유동자산 대 비유동자산비율,당좌자산구성비율,비유동자산구성비율,자기자본구성비율,타인자본구성비율,자기자본배율,비유동비율,비유동장기적합률,유동비율,당좌비율,현금비율,원재료비율,매출채권비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,매출채권 대 상,제품비율,매입채무 대 재고자산비율,부채비율,유동부채비율,단기차입금 대 총차입금비율,비유동부채비율,비유동부채 대 순운전자본비율,순운전자본비율,차입금의존도,차입금비율,이자보상배율(이자비용),이자보상배율(순금융비용),유보액대비율,유보액 대 납입자본배율,유동자산집중도,비유동자산집중도,투자집중도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,영업이익대비이자보상배율,총자본회전률,경영자본회전률,자기자본회전률,자본금회전률,타인자본회전률,매입채무회전률,매입채무회전기간,유동자산회전률,당좌자산회전률,재고자산회전률,재고자산회전기간,상품,제품회전률,원,부재료회전률,재공품회전률,매출채권회전률,매출채권회전기간,비유동자산회전률,유형자산회전율,순운전자본회전률,운전자본회전률,1회전기간,부가가치(백만원),종업원1인당 부가가치(백만원),종업원1인당 매출액(백만원),종업원1인당 경상이익 (2007년 이전 발생)(백만원),종업원1인당 순이익(백만원),종업원1인당 인건비(백만원),노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,부가가치(백만원),법인세비용차감전(계속사업)손익(백만원),인건비(백만원),금융비용(백만원),임차료(백만원),조세공과(백만원),감가상각비(백만원),종업원1인당 부가가치(백만원),총자본투자효율,기계투자효율,부가가치율,종업원수,PER(Price earnings ratio)(최고),PER(Price earnings ratio)(최저),PBR(Price book-value ratio)(최고),PBR(Price book-value ratio)(최저),PCR(Price cash-flow ratio)(최고),PCR(Price cash-flow ratio)(최저),PSR(Price sales ratio)(최고),PSR(Price sales ratio)(최저),기업가치(EV)(백만원),EBITDA(백만원),EBITDA/매출액(%),EBITDA/금융비용(배),EBITDA/평균발행주식수(백만원),EV/EBITDA(배)
(주)DB Inc.,012030,2003/12,-2.85,-31.95,-27.58,-17.97,-8.2,-6.95,30.61,13.87,-20.88,3.42,24.68,10.1,-1.32,15.41,4.19,17.78,13.86,3.71,2.49,10.57,8.24,5.06,21.49,16.75,29.53,125.31,97.7,22.87,11.76,20.62,9.43,4.86,16.07,84.59,95.81,13.59,2,-0.01,0.26,85.49,7.72,0.18,1.91,1.94,12.15,94.28,2.34,8.8,7.27,0,55.4,86.03,9.9,1.5,10.13,35247.02,4934,4934,-1447.92,32536.09,561.96,0.39,1476.63,26.77,42.8,36.55,15.31,73.23,55.19,44.81,660.62,132.69,90.48,140.41,80.31,4.38,70.01,104.66,148.72,180.35,136.4,58.03,81.19,34.54,43.93,46.65,334.21,7.7,27.09,49.09,1.03,9.9,46.95,5.62,56.12,112.04,75.46,-7.8,-12.9,-3.5,-5.94,2.1,0.59,1.16,1.21,7.05,1.17,8.79,41.5,1.78,2.78,4.96,73.65,6.9,21.78,272.33,5.82,62.7,0.89,3.52,1.04,0.5,0.01,42713.44,157.03,518.34,92.14,71.84,41.88,145.15,29.93,880.11,17.84,108.19,524.6,30.3,26.67,73.33,45.75,42713.44,25062.98,11390.15,2814.79,312.75,269.77,2862.99,157.03,17.84,524.6,30.3,272,,,,,,,,,,,,,,
(주)DB하이텍,000990,2003/12,0.36,14.35,-21.03,-26.44,-19.97,0.13,7.45,7.11,-10.58,-0.51,-2.06,7.67,-5.53,16.41,5.21,2.14,1.64,5.62,4.77,1.96,1.5,13.33,5.47,4.2,83.43,34.21,26.28,32.52,4.87,2.35,4.42,5.73,1.8,83.59,94.79,-3.07,3.18,-0.34,0.47,97.93,5.85,0.29,3.15,2.47,10.32,63.58,4.54,7.61,7.77,0,9.64,86.63,9.64,1.49,36.68,80070.58,1363,1363,1311.7,30451.83,552.55,0.67,4171.5,31.41,60.33,45.8,12.46,68.59,36.61,63.39,648.28,187.36,132.11,65.33,25.92,14.55,79.04,27.13,0,47.12,47.13,57.58,173.16,131.34,72.76,41.82,0,-16.67,48.77,133.22,1.27,1.67,31.2,5.53,32.56,76.64,93.12,6.13,7.97,3.89,4.3,1.64,0.92,1.1,2.56,16.01,1.43,8.1,45.04,3.07,8.61,4.78,76.43,7.64,17.33,318.6,18.43,19.8,1.3,1.78,1.2,0.07,0.02,116605.08,100.18,683.01,14.59,11.21,40.42,379.37,46.53,755.27,13.26,26.41,215.29,14.67,40.34,59.66,11.19,116605.08,16983.11,47043.72,25288.76,5069.08,2351.97,19868.46,100.18,13.26,215.29,14.67,1164,,,,,,,,,,,,,,
(주)HJ 매그놀리아 용평 호텔 앤 리조트,070960,2003/06,5.25,-6.23,0,0,0,-73.33,-15.01,25.77,0,0,5.36,0,0,5.64,-3.33,0,-19.04,-0.39,-0.44,0,-2.51,-1.74,0,-9.96,-1.37,0,-7.84,0,1.89,0,-0.62,-0.51,-2.93,94.36,103.33,-15.71,14.33,0.01,1.45,118.87,2.83,0.06,11.94,19.95,5.45,12.89,2.52,7.75,7.41,0,-37.6,-37.6,0,0,0,2057.89,-392,-392,2387.93,3616.21,-27.68,0,-68.56,3.02,8.27,3.11,2.77,96.98,22.58,77.42,72.32,429.58,155.51,8.01,7.35,1.55,0,169.01,0,139.52,264.77,121.14,342.93,166.69,0,176.24,0,-34.62,24.35,107.85,-0.23,-0.33,-8.64,-0.28,24.25,735.67,709.19,19.45,61.84,15.06,117.2,-0.23,0.13,0.15,0.52,0.41,0.18,51.16,7.13,4.12,5.09,21.69,16.83,93.08,110.49,43.38,36.75,9.93,0.14,0.14,0.26,0.14,0.05,18017.86,0,0,0,0,0,0,0,0,2.96,3.4,104.58,23.04,14.71,85.29,-82.64,18017.86,-14890.45,2650.5,11203.89,279.98,52.75,18721.2,0,2.96,104.58,23.04,0,,,,,,,,,,,,,,
(주)LG데이콤,015940,2003/12,-11.96,-43.1,-52.86,-2959.13,0,1.93,-20.81,-5.29,-16.85,-5.5,-9.05,0.22,108.31,96.47,4.52,-23.75,-24.49,1.97,1.7,-8.91,-9.18,5.83,-30.64,-31.58,24.47,-128.51,-132.47,0,-5.18,-14.39,-5.45,2.74,-14.83,3.53,95.48,-28.28,9.94,-0.06,0.91,123.26,14.4,0.75,7.9,13.89,13.64,69.09,5.26,11.15,9.83,0,-33.35,73.24,0,0,0,27050.67,-6624,-6624,4601.95,17534.11,270.7,0.95,1223.58,10.24,1.03,11.41,10.13,89.76,27.84,72.16,370.7,322.38,143.29,27.41,27.13,2.01,3.69,2724,0,58.82,2724,4630.9,259.15,134.18,41.39,124.98,0,-27.12,38.87,139.62,0.42,-1.39,20.33,2.71,34.74,231.88,146.16,11.27,20.92,8.13,20.02,0.45,0.38,0.61,1.29,5.41,0.53,8.26,44.2,2.88,2.9,389.63,0.94,389.63,0,0,10.18,35.84,0.43,0.82,0.7,0,0,311387.38,229.47,738.45,-175.4,-180.81,133.84,845.1,533.86,1817.24,12.63,27.15,42.98,31.07,58.32,41.68,-78.8,311387.38,-238016.27,181615.37,99628.46,83510.44,9449.72,175199.66,229.47,12.63,42.98,31.07,1357,,,,,,,,,,,,,,
(주)LG파워콤,045820,2003/12,-7.36,119.2,49.22,0,30.98,-19.89,3.48,7.1,0,0,-9.97,0,0,0,24.98,0,5.82,9.49,9.21,0,2.14,16.16,0,3.76,17.55,0,4.09,15.43,1.85,0,4,9.62,2.24,0,75.02,-18.54,5.03,-1.51,0.04,93.7,5.88,0.45,5.25,39.92,15.3,47.64,4.31,8.69,7.35,0,3.04,9.65,0.4,0.36,9.79,3512.16,204,214,1966.18,5456.53,10.46,0.09,877.43,12.59,4.25,14.41,12.06,87.41,58.82,41.18,110.46,148.6,118.17,48.37,46.32,58,0,785.09,0,85.94,0,913.49,70.01,44.26,41.36,25.75,0,-13.44,24.89,42.32,4.32,2.28,5.57,0.1,24.52,246.62,264.28,46.77,77.38,19.26,51.49,4.97,0.37,0.39,0.65,0.7,0.86,8.76,41.66,4.08,4.37,62.21,5.87,0,0,0,8.31,43.95,0.41,0.47,1.01,0.02,0.12,360976.99,0,0,0,0,0,0,0,0,25.63,33.39,36.8,68.52,8.22,91.78,8.49,360976.99,33940.22,29678.06,26477.12,67092.22,2290.03,201499.35,0,25.63,36.8,68.52,0,,,,,,,,,,,,,,
(주)MH에탄올,023150,2003/12,-0.39,-5.82,63.95,224.87,228,-2.23,13.06,11.01,50.66,1.75,22.76,9.09,15.79,27.18,21.12,15.3,11.69,15.65,14.45,10.47,8,20.93,15.17,11.58,141.84,102.8,78.51,27.77,10.06,13.25,7.59,18.29,10.12,72.82,78.88,-5.81,-0.6,-1.25,0.01,85.17,10.81,1,-0.68,5.19,14.89,73.46,-1.33,3.12,3.26,0,46.93,86.34,20,2.78,25.47,33586.37,3926,3926,5565.99,34871.66,619.32,0,7092.15,28.35,26.9,39.56,20.72,71.65,69.04,30.96,719.32,103.78,95.32,114.16,83.44,0.63,70.36,145.11,216.95,0,3926.51,0,44.83,35.96,77.74,8.87,174.27,3.51,23.95,34.69,18.2,999999999,59.45,6.19,45.32,100.83,114.37,36.19,46.77,11.2,17.37,0,0.68,0.87,0.99,6.72,2.21,470.47,0.78,2.21,3,8.36,43.66,103.72,13.94,225.72,7.71,47.34,0.99,1.86,1.26,0,0.01,8780.12,151.38,510.45,78.12,59.66,48.52,273.3,34.52,791.7,19.12,55.39,438.48,29.66,32.05,67.95,39.41,8780.12,4530.71,2813.88,-178.18,2.54,260.06,1351.1,151.38,19.12,438.48,29.66,58,,,,,,,,,,,,,,
(주)S&TC,100840,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)S&T홀딩스,036530,2003/12,11.3,-28.87,-72.98,-19.55,-23.35,49.42,20.58,-37.72,14.72,-25.59,125.88,-16.3,22.16,26.72,13.89,43.04,31.48,6.71,5.95,18.43,13.48,8.25,25.56,18.7,189.07,585.7,428.44,27.43,17.89,23.7,12.94,7.65,17.34,73.28,86.11,29.15,-1.26,0,0.03,67.87,14.89,0.38,-1.39,2.63,7.84,36.81,-1.94,0,0,0,17.79,98.21,0,0,0,6804.31,2142,2142,1108.71,12527.52,2460.66,0,945.33,39,18.25,63.93,31.88,61,71.66,28.34,2505.54,85.12,74.11,220.53,180.28,31.59,55.44,35.06,33.39,29.49,0,118.88,39.54,24.68,0,14.86,49.98,21.31,0,0,27.17,999999999,70.38,24.61,120.52,113.05,169.76,54.15,0,15.34,39.42,0,0.43,0.55,0.59,13.61,1.53,8.75,41.71,0.83,0.95,6.55,55.71,220.93,41.33,8.14,24.93,14.64,0.88,1.54,0.62,0.04,0.03,29967.36,190.87,325.05,139.9,102.33,44.02,222.06,16.98,835.08,22.86,85.96,1124.38,58.72,23.06,76.94,53.61,29967.36,21963.59,6910.64,-644.48,341.31,176.05,1220.25,190.87,22.86,1124.38,58.72,157,,,,,,,,,,,,,,
(주)SH에너지화학,002360,2003/06,-26.15,-22.55,5.52,-129.11,0,19.1,-2.31,20.48,-41.19,4.72,-5.96,15.05,8.62,18.52,10.26,-1.39,-0.94,10.33,10.25,-1.39,-0.94,30.88,-4.18,-2.84,53.71,-7.26,-4.94,0,2.31,-1.57,2.76,11.65,-1.07,81.48,89.74,-11.13,3.7,0.05,0.02,100.85,4.86,0.7,3.56,1.69,3.81,22.77,5.53,6.88,6.33,0,9.93,43.39,0,0,0,26185.04,-251,-361,3730.14,8414.23,75.92,0.08,2685.59,31.71,12.2,46.43,27.84,68.29,35.02,64.98,171.89,195.04,71.01,829.3,728.16,7.5,87.16,459.67,13.87,3800.27,1998.22,12.1,185.59,10.92,0,174.67,219.34,27.88,58.67,167.57,2.71,0.76,15.47,0.76,34.05,66.04,77.84,18.92,20.96,12.3,11.53,2.77,1,1.14,3.01,5.24,1.5,222.89,1.64,2.94,3.26,29.99,12.17,128.89,45.29,397.63,4.87,74.89,1.51,1.95,2.58,0,0.01,10262.88,77.16,736.98,-10.22,-6.95,37.21,320.27,145.51,690.82,11.17,24.09,53.03,10.47,48.22,51.78,-9.01,10262.88,-859.54,4948.43,3627.74,112.42,710.5,1723.33,77.16,11.17,53.03,10.47,133,,,,,,,,,,,,,,
(주)SIMPAC,009160,2003/12,0.98,20.44,62.98,3120.36,3120.36,-22.15,12.1,45.42,9.61,6.85,1.96,36.1,-6.26,15.93,7.09,4.58,4.58,8.07,6.71,4.34,4.34,17.54,11.34,11.34,42.2,27.27,27.27,4.38,4.76,4.39,4.76,6.8,4.39,84.07,92.91,-2.51,0.45,0.13,0.07,95.54,8.13,0.21,0.46,1.44,4.22,36.63,0.69,7.9,7.13,0,10.72,61.03,4.99,1.96,18.3,29771.95,1366,1366,2608.24,12379.48,154.38,0.12,2110.12,48.32,35.3,93.5,31.27,51.68,38.57,61.43,254.27,133.99,125.22,82.28,53.24,8.59,74.5,145.64,0,85.08,556.8,171.17,159.28,152.27,0,7.01,0,-10.41,21.59,55.97,3.76,11.17,23.42,1.54,48.96,56.67,109.58,9.71,27.64,5.97,6.61,15.74,0.95,0.96,2.48,5.95,1.53,3.64,100.3,2.04,3.65,4.64,78.73,21.2,32.51,7.83,4.92,74.18,1.76,1.82,0.9,0.17,0.02,11417.57,73.19,496.2,22.72,22.72,39.6,272.94,17.05,549.39,13.32,26.82,429.3,14.75,54.1,45.9,31.05,11417.57,3544.72,6177.25,348.54,92.74,162.26,1092.05,73.19,13.32,429.3,14.75,156,,,,,,,,,,,,,,
