회사명,거래소코드,회계년도,유형자산증가율,유동자산증가율,영업이익증가율,경상이익증가율 (2007년 이전 발생),순이익증가율,재고자산증가율,자기자본증가율,매출액증가율,종업원1인당 부가가치증가율,종업원수증가율,비유동자산증가율,종업원1인당 매출액증가율,종업원1인당 인건비증가율,매출액총이익률,매출액영업이익률,매출액경상이익률 (2007년 이전 발생),매출액순이익률,총자본사업이익률,총자본영업이익률,총자본경상이익률 (2007년 이전 발생),총자본순이익률,자기자본영업이익률,자기자본경상이익률 (2007년 이전 발생),자기자본순이익률,자본금영업이익률,자본금경상이익률 (2007년 이전 발생),자본금순이익률,조세 대 조세차감전순이익률,기업경상이익률 (2007년 이전 발생),투자수익률 (2007년 이전 발생),기업순이익률,경영자본영업이익률,경영자본순이익률,매출원가 대 매출액비율,영업비율,영업외손익률,금융비용부담률,외환이익 대 매출액비율,광고선전비 대 매출액비율,수지비율,인건비 대 총비용비율,조세공과 대 총비용비율,금융비용 대 총비용비율,감가상각비 대 총비용비율,감가상각률,누적감가상각률,이자부담률,지급이자율,차입금평균이자율,사내유보율,사내유보 대 자기자본비율,적립금비율(재정비율),평균배당률,자기자본배당률,배당성향,1주당매출액(원),EPS(Earning Per Share)(원),1주당경상이익 (2007년 이전 발생)(원),CPS(Cash flow Per Share)(원),BPS(Book-value Per Share)(원),유보율,R & D 투자효율,1주당영업이익(원),유동자산구성비율,재고자산 대 유동자산비율,유동자산 대 비유동자산비율,당좌자산구성비율,비유동자산구성비율,자기자본구성비율,타인자본구성비율,자기자본배율,비유동비율,비유동장기적합률,유동비율,당좌비율,현금비율,원재료비율,매출채권비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,매출채권 대 상,제품비율,매입채무 대 재고자산비율,부채비율,유동부채비율,단기차입금 대 총차입금비율,비유동부채비율,비유동부채 대 순운전자본비율,순운전자본비율,차입금의존도,차입금비율,이자보상배율(이자비용),이자보상배율(순금융비용),유보액대비율,유보액 대 납입자본배율,유동자산집중도,비유동자산집중도,투자집중도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,영업이익대비이자보상배율,총자본회전률,경영자본회전률,자기자본회전률,자본금회전률,타인자본회전률,매입채무회전률,매입채무회전기간,유동자산회전률,당좌자산회전률,재고자산회전률,재고자산회전기간,상품,제품회전률,원,부재료회전률,재공품회전률,매출채권회전률,매출채권회전기간,비유동자산회전률,유형자산회전율,순운전자본회전률,운전자본회전률,1회전기간,부가가치(백만원),종업원1인당 부가가치(백만원),종업원1인당 매출액(백만원),종업원1인당 경상이익 (2007년 이전 발생)(백만원),종업원1인당 순이익(백만원),종업원1인당 인건비(백만원),노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,부가가치(백만원),법인세비용차감전(계속사업)손익(백만원),인건비(백만원),금융비용(백만원),임차료(백만원),조세공과(백만원),감가상각비(백만원),종업원1인당 부가가치(백만원),총자본투자효율,기계투자효율,부가가치율,종업원수,PER(Price earnings ratio)(최고),PER(Price earnings ratio)(최저),PBR(Price book-value ratio)(최고),PBR(Price book-value ratio)(최저),PCR(Price cash-flow ratio)(최고),PCR(Price cash-flow ratio)(최저),PSR(Price sales ratio)(최고),PSR(Price sales ratio)(최저),기업가치(EV)(백만원),EBITDA(백만원),EBITDA/매출액(%),EBITDA/금융비용(배),EBITDA/평균발행주식수(백만원),EV/EBITDA(배)
(주)DB Inc.,012030,2008/12,159.69,33.08,-8.92,0,201.74,44.77,-11.37,13.19,39.27,-4.84,14.71,18.95,-4.33,18.76,4.67,0,9.28,4.24,3,0,5.95,6.34,0,12.58,42.32,0,83.97,-13.47,0,0,6.94,4.62,9.17,81.24,95.33,3.41,1.56,0.42,0.26,92.93,3.01,0.08,1.46,1.69,12.38,118.35,1.89,5,6.85,0,96.84,129.64,4.95,0.79,5.9,45264.51,4241,0,-409.36,31103.43,528.77,2.11,2115.85,37.74,40.71,60.61,22.37,62.26,40.58,59.42,627.42,153.43,137.37,69.02,40.92,15.88,0,87.28,0,181.03,166.95,48.21,146.43,134.74,98.58,11.69,0,-16.94,40.96,100.94,1.34,6.2,34.2,5.29,56.44,99.52,128.38,2.37,3.43,1.41,2.4,3.01,0.64,0.99,1.36,9.05,1.22,10.19,35.83,1.77,2.92,4.51,80.98,8.72,17.49,0,4.5,81.04,1,2.29,0.79,0,0.01,27250.43,99.09,658.39,0,61.07,21.04,415.55,35.94,1124.48,8.81,23.85,275.68,15.05,21.23,78.77,61.63,27250.43,14638.65,5785.76,2815.87,590.81,161.2,3258.14,99.09,8.81,275.68,15.05,275,7.13,1.71,0.96,0.23,0,0,0.66,0.16,108127.82,11721.55,6.47,1.85,2930.39,9.22
(주)DB하이텍,000990,2008/12,1.41,13.28,0,0,0,8.4,-2.75,-1.79,-48.1,-1.36,1.7,-0.43,24.62,15.14,-6.57,0,-20.89,-2.52,-2.7,0,-8.6,-10.15,0,-32.26,-47.43,0,-150.81,0,0,0,-3.41,-2.93,-9.32,84.86,106.57,-16.61,12.6,-3.53,0.36,119.57,2.8,0.14,8.89,13.71,12.83,28.11,7.07,9.05,9.09,0,-30.46,55.39,0,0,0,36091.08,-8646,0,-184.46,18914.45,408.57,5.59,-2371.29,19.45,49.54,24.14,9.81,80.55,25.81,74.19,460.94,312.13,122.39,56.89,28.7,2.97,0,47.18,0,102.85,124.32,45.88,287.47,132.45,36.83,155.02,0,-14.74,58.27,225.79,-0.5,-0.84,22.88,4.09,45.29,197.66,223.5,-0.42,-0.54,-0.31,-0.78,-0.52,0.41,0.45,1.54,7.22,0.56,9.59,38.07,2.21,4.47,4.36,83.63,12.54,14.85,34.55,8.07,45.21,0.51,0.61,0.82,0.35,0.01,186707.28,53.67,387.37,0,-80.93,15.35,624.24,310.47,958.48,5.6,8.6,17.29,13.85,28.61,71.39,-150.81,186707.28,-312455.19,53409.03,169762.56,11731.53,2584.03,261675.32,53.67,5.6,17.29,13.85,3479,0,0,0.67,0.15,0,0,0.35,0.08,1923832.2,173130.75,12.85,0.98,4636.57,11.11
(주)HJ 매그놀리아 용평 호텔 앤 리조트,070960,2008/12,0,0,0,0,0,0,0,0,0,0,0,0,0,18.74,11.59,0,1.11,2.91,2.89,0,0.28,9.22,0,0.89,13.77,0,1.32,4.08,0,0,1.04,2.9,0.28,81.26,88.41,-10.47,3.04,-0.66,1.79,98.9,1.42,0.05,3.02,10.4,5.65,40.17,1.1,4.62,4.62,0,-23.84,-23.84,0,0,0,5940.39,66,0,-1028,7444.21,49.27,0,688.32,12.78,64.04,14.65,4.59,87.22,31.37,68.63,149.27,278.08,108.59,64.94,23.35,2.48,0,46.15,0,63.12,46.44,73.13,218.81,62.72,66.76,156.08,0,-6.9,16.87,53.78,3.71,1.37,10.35,0.49,51.17,349.38,399.48,-6.29,-25.61,-4.32,-17.31,3.82,0.25,0.25,0.8,1.19,0.36,4.17,87.47,1.95,5.43,3.05,119.61,3.07,773.99,0,6.61,55.21,0.29,0.29,0.77,0.18,0.01,36663.52,0,0,0,0,0,0,0,0,4.05,4.68,196.8,16.24,8.77,91.23,6.86,36663.52,2514.94,3216.47,6853.5,396.78,106.99,23574.84,0,4.05,196.8,16.24,0,0,0,0,0,0,0,0,0,149668.15,49731.1,22.03,7.06,1308.71,3.01
(주)LG데이콤,015940,2008/12,6.63,19.6,-5.2,0,-9.93,233.9,3.65,21.74,-4.98,-0.58,-0.22,22.45,3.92,0,13.19,0,7.3,10.82,10.58,0,5.86,15.32,0,8.48,52.18,0,28.89,31.81,0,0,6.37,17.52,9.7,0,86.81,-2.74,0.64,-0.32,1.31,89.78,7.86,0.28,0.7,8.7,16,161.19,1.65,6.69,5.91,0,27.94,72.26,10,2.88,34.62,19778.1,1444,0,3881.53,16425.08,246.63,0.38,2609.24,19.66,1.17,24.48,19.43,80.34,69.19,30.81,346.63,116.11,102.44,91.12,90.05,24.52,0,5382.18,0,162.82,5382.18,3305.56,44.52,31.19,21.63,13.34,0,-1.92,11.07,16,14.07,17.36,49.23,2.47,22.86,101.85,78.34,50.87,141.51,15.67,19.85,20.65,0.8,1.33,1.16,3.96,2.59,11.49,31.75,4.37,4.41,526.25,0.69,526.25,0,0,6.74,54.19,0.98,2.05,1.95,0,0.04,471667.95,343.28,1198.88,0,87.55,86.59,589.9,327.52,1518.3,22.61,58.19,104.81,28.63,25.22,74.78,25.5,471667.95,172165.54,118970.62,10525.86,34118.98,4224.92,131662.02,343.28,22.61,104.81,28.63,1374,15.58,10.25,1.37,0.9,5.8,3.81,1.14,0.75,130429.68,348978.08,21.19,22.59,4190.06,0.37
(주)LG파워콤,045820,2008/12,10.16,64.75,98.03,0,-76.53,-7.42,8.86,14.79,0,0,8.75,0,0,0,6.96,0,0.47,5.26,4.92,0,0.33,9.32,0,0.63,14,0,0.95,80.52,0,0,2.16,5,0.34,0,93.04,-5.33,2.58,0,4.82,98.39,5.07,0.78,2.58,22.06,17.63,100.92,3.88,5.36,6,0,-2.66,32.77,0,0,0,10489.64,49,0,2676.76,8001.95,48.74,0.04,730.11,19.45,0.84,24.14,19.29,80.55,51.22,48.78,148.74,157.28,120.72,58.44,57.96,43.49,0,3879.05,0,156.65,3879.06,2476.33,95.25,64.97,60.95,30.28,0,-13.83,37.6,73.42,2.27,1.63,16.78,0.49,23.76,117.57,150.3,35.73,46.35,17.43,26.51,2.69,0.71,0.72,1.34,2.01,1.5,16.46,22.18,4.21,4.25,388.11,0.94,388.11,0,0,11.02,33.12,0.85,0.97,1.46,0,0.08,575726.93,718.76,1590.22,0,7.48,80.71,1696.86,1447.23,2418.32,29.72,42.36,49.66,45.2,11.23,88.77,1.04,575726.93,20796.15,64644.99,32905.55,166414.63,9959.4,281006.23,718.76,29.72,49.66,45.2,801,166.2,124.04,1.02,0.76,3.06,2.29,0.78,0.58,564579.81,369664.63,29.02,9.47,3044.23,1.53
(주)MH에탄올,023150,2008/12,-4.04,150.87,-3.2,0,0,13.18,-5.89,7.55,-94.83,-9.68,-4.76,19.08,4.6,27.61,16.27,0,-14.97,11.52,9.41,0,-8.66,19.77,0,-18.2,159.36,0,-146.67,0,0,0,-7.91,11.87,-10.92,72.39,83.73,-29.5,1.29,-1.07,0.41,112.06,5.16,0.58,1.05,4.69,13.62,71.79,1.42,4.38,5.99,0,35.38,69.19,0,0,0,6168.05,-923,0,1469.91,4699.81,681.46,0,1003.39,49.65,13.9,98.59,42.75,50.35,39.84,60.16,781.46,126.39,87.9,116.22,100.07,5.49,0,35.08,99.59,0,495.37,0,151,107.22,70.49,43.78,251.72,6.93,56.28,141.26,3.3,-9.25,34.74,6.81,69.52,103.35,165.93,12.73,13.61,7.66,15.33,12.61,0.58,0.73,1.22,9.8,1.1,0,0,1.44,1.77,7.68,47.5,56.92,15.34,223.42,8.84,41.3,0.97,1.92,0.78,0.06,0.01,486.98,8.7,771.01,0,-115.43,48.94,390.75,24.58,1543.79,0.56,2.23,35.37,1.13,562.79,-462.79,-1327.43,486.98,-5712.49,2740.65,557.17,100.02,310.45,2491.18,8.7,0.56,35.37,1.13,56,0,0,1.87,0.8,5.98,2.56,1.43,0.61,46297.61,9514.94,22.04,4.47,1359.28,4.87
(주)S&TC,100840,2008/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)S&T홀딩스,036530,2008/12,-99.88,-93.26,-15.8,0,20.13,0,64.57,-78.98,982.53,-95.45,104.95,362.49,93.46,50.79,44.29,0,63.89,4.29,4.16,0,6,4.93,0,7.11,220.03,0,317.35,-19.28,0,0,5.87,20.63,29.76,49.21,55.71,8.9,-1.39,3.42,0.16,51.49,3.94,0.64,-2.47,0.51,1.19,3.16,-0.84,0,0,100,43.03,75.95,41.63,0.86,15.1,3134.58,2000,0,1064.85,34719.14,4722.27,0,1388.4,1.75,0,1.78,1.75,98.25,91.25,8.75,4821.78,107.67,98.29,4249.23,4249.23,84.81,0,0,0,0,0,0,9.59,0.05,0,9.54,508.97,1.71,0,0,999999999,999999999,89.37,47.22,169.88,895,21.71,6.87,0,0.6,7.36,0,0.09,0.47,0.11,4.97,0.6,3.42,106.79,0.59,0.88,1.76,207.6,0,24.04,1.92,1.85,197.14,0.11,2.29,0.37,5.22,0,18119.63,2264.95,4132.88,0,2640.33,92,4.17,0,50605.89,4.48,54315.43,0,54.8,4.06,95.94,116.57,18119.63,17588.61,736.03,-460.41,40.47,119.53,95.4,2264.95,4.48,0,54.8,8,18.43,1.93,1.06,0.11,34.65,3.62,11.77,1.23,-6015.21,14740.04,44.58,0,1397.45,-0.41
(주)SH에너지화학,002360,2008/12,18.78,-13.74,-62.3,0,0,-51.01,20.65,3.29,-160.79,0.88,36.53,2.39,6.4,6.74,0.73,0,-7.62,1.51,1.14,0,-11.85,1.67,0,-17.36,1.99,0,-20.67,0,0,0,-10.41,1.43,-14.92,93.26,99.27,-8.41,0.92,0.09,0.02,107.5,1.35,0.1,0.84,1.39,6.21,53.16,4.53,7.21,8.08,0,-12.34,9.21,0,0,0,1389.12,-104,0,63.98,661.73,21.02,0.05,10.16,28.12,16.96,39.13,23.35,71.88,69.14,30.86,119.67,103.95,96.8,109.23,90.7,3.32,0,358.06,200.66,13445.32,771.86,2.66,44.62,37.24,0,7.39,214.89,2.38,23.28,33.66,0.63,-7.31,12.14,0.21,21.07,43.2,51.91,12.72,16.85,3.92,2.72,0.79,1.56,1.96,2.28,2.71,4.9,101.77,3.59,4.75,6.24,19.87,18.37,34.05,51.59,786.92,8.03,45.46,2.31,3.45,2.69,0,0.02,-4866.84,-42.69,1219.6,0,-92.89,18.12,383.43,141.01,846.19,-5.05,-11.13,-30.28,-3.5,0,0,0,-4866.84,-10675.63,2066.06,1283.92,187.28,150.52,2121.01,-42.69,-5.05,-30.28,-3.5,114,0,0,15.04,0.56,155.52,5.78,7.16,0.27,21553.48,3138.36,2.26,1.94,31.36,6.87
(주)SIMPAC,009160,2008/12,-12.3,35.87,-23.8,0,108.08,147.57,33.97,19.08,46.46,8.33,25.89,9.92,14.06,18.62,6.77,0,19.35,7.52,6.12,0,17.51,11.06,0,31.63,64.71,0,185.11,18.23,0,0,16.92,7.32,20.93,81.38,93.23,16.84,-0.65,1.01,0.23,81.35,4.61,0.06,-0.63,2.15,12.12,80.89,-1.31,6.9,6.95,0,53.81,87.04,14.54,2.17,7.85,4782.2,1024,0,178.97,3277.92,582.46,0,323.54,56.86,23.82,131.78,43.31,43.14,55.81,44.19,670.12,77.3,71.5,143.36,109.21,39.59,0,132.66,78.77,90.43,411.41,146.7,79.16,71.06,70.15,8.11,26.32,17.2,10.34,18.52,7.56,999999999,48.51,5.82,61.95,48.59,100.58,11.4,48.72,5.04,6.32,0,0.9,1.08,1.63,9.56,2.03,4.49,81.29,1.61,2,8.38,43.56,24,23.73,30.67,4.63,78.84,2.06,3.33,0.98,0.12,0.02,39658.96,190.67,633.67,0,122.64,30.06,177.33,22.58,795.44,23.97,107.52,844.54,30.09,15.77,84.23,64.32,39658.96,31108.41,6252.95,-853.25,150.48,86.72,2913.65,190.67,23.97,844.54,30.09,208,7.19,1.53,2.03,0.43,37.16,7.91,1.39,0.3,-20137.75,11830.69,8.98,10.03,429.25,-1.7
