회사명,거래소코드,회계년도,유형자산증가율,유동자산증가율,영업이익증가율,경상이익증가율 (2007년 이전 발생),순이익증가율,재고자산증가율,자기자본증가율,매출액증가율,종업원1인당 부가가치증가율,종업원수증가율,비유동자산증가율,종업원1인당 매출액증가율,종업원1인당 인건비증가율,매출액총이익률,매출액영업이익률,매출액경상이익률 (2007년 이전 발생),매출액순이익률,총자본사업이익률,총자본영업이익률,총자본경상이익률 (2007년 이전 발생),총자본순이익률,자기자본영업이익률,자기자본경상이익률 (2007년 이전 발생),자기자본순이익률,자본금영업이익률,자본금경상이익률 (2007년 이전 발생),자본금순이익률,조세 대 조세차감전순이익률,기업경상이익률 (2007년 이전 발생),투자수익률 (2007년 이전 발생),기업순이익률,경영자본영업이익률,경영자본순이익률,매출원가 대 매출액비율,영업비율,영업외손익률,금융비용부담률,외환이익 대 매출액비율,광고선전비 대 매출액비율,수지비율,인건비 대 총비용비율,조세공과 대 총비용비율,금융비용 대 총비용비율,감가상각비 대 총비용비율,감가상각률,누적감가상각률,이자부담률,지급이자율,차입금평균이자율,사내유보율,사내유보 대 자기자본비율,적립금비율(재정비율),평균배당률,자기자본배당률,배당성향,1주당매출액(원),EPS(Earning Per Share)(원),1주당경상이익 (2007년 이전 발생)(원),CPS(Cash flow Per Share)(원),BPS(Book-value Per Share)(원),유보율,R & D 투자효율,1주당영업이익(원),유동자산구성비율,재고자산 대 유동자산비율,유동자산 대 비유동자산비율,당좌자산구성비율,비유동자산구성비율,자기자본구성비율,타인자본구성비율,자기자본배율,비유동비율,비유동장기적합률,유동비율,당좌비율,현금비율,원재료비율,매출채권비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,"매출채권 대 상,제품비율",매입채무 대 재고자산비율,부채비율,유동부채비율,단기차입금 대 총차입금비율,비유동부채비율,비유동부채 대 순운전자본비율,순운전자본비율,차입금의존도,차입금비율,이자보상배율(이자비용),이자보상배율(순금융비용),유보액대비율,유보액 대 납입자본배율,유동자산집중도,비유동자산집중도,투자집중도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,영업이익대비이자보상배율,총자본회전률,경영자본회전률,자기자본회전률,자본금회전률,타인자본회전률,매입채무회전률,매입채무회전기간,유동자산회전률,당좌자산회전률,재고자산회전률,재고자산회전기간,"상품,제품회전률","원,부재료회전률",재공품회전률,매출채권회전률,매출채권회전기간,비유동자산회전률,유형자산회전율,순운전자본회전률,운전자본회전률,1회전기간,부가가치(백만원),종업원1인당 부가가치(백만원),종업원1인당 매출액(백만원),종업원1인당 경상이익 (2007년 이전 발생)(백만원),종업원1인당 순이익(백만원),종업원1인당 인건비(백만원),노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,부가가치(백만원),법인세비용차감전(계속사업)손익(백만원),인건비(백만원),금융비용(백만원),임차료(백만원),조세공과(백만원),감가상각비(백만원),종업원1인당 부가가치(백만원),총자본투자효율,기계투자효율,부가가치율,종업원수,PER(Price earnings ratio)(최고),PER(Price earnings ratio)(최저),PBR(Price book-value ratio)(최고),PBR(Price book-value ratio)(최저),PCR(Price cash-flow ratio)(최고),PCR(Price cash-flow ratio)(최저),PSR(Price sales ratio)(최고),PSR(Price sales ratio)(최저),기업가치(EV)(백만원),EBITDA(백만원),EBITDA/매출액(%),EBITDA/금융비용(배),EBITDA/평균발행주식수(백만원),EV/EBITDA(배)
(주)DB Inc.,012030,2019/12,-60.15,-0.47,0,,125.63,-13.10,56.93,-6.70,144.18,7.52,37.74,-13.22,0.33,20.85,8.19,,7.40,9.09,4.78,,4.32,8.32,,7.52,15.71,,14.20,24.82,,,2.10,13.97,12.63,79.15,91.81,1.49,-3.80,0.16,3.66,91.04,5.83,0.16,-3.87,2.27,18.15,58.92,-5.22,7.45,7.10,0,25.17,90.89,0,0,0,959.29,75,,150.23,"1,070.79",159.18,0,78.57,16.74,11.63,20.11,14.79,83.26,62.24,37.76,230.78,133.78,97.37,115.52,102.09,17.55,0,396.20,86.52,277.16,"1,002.61",142.95,60.68,23.28,19.81,37.40,"1,034.56",2.25,24.84,39.91,2.29,"999,999,999",42.93,1.59,32.43,138.87,55.99,14.04,21.35,5.30,10.25,0,0.58,1.71,1.02,1.92,1.37,17.27,21.13,3.08,3.52,24.72,14.77,61.87,0,0,6.93,52.70,0.72,63.56,1.64,0.07,0.02,"28,161.45",72.96,499.96,,37.01,28.66,0,0,0,7.55,"1,627.58",0,14.59,39.28,60.72,50.73,"28,161.45","18,688.79","11,063.18","-7,342.86","1,129.86",311.63,"4,310.87",72.96,7.55,0,14.59,386,14.43,10.51,0.96,0.70,6.82,4.97,1.07,0.78,"258,716.73","20,116.33",10.42,2.92,99.99,12.86
(주)DB하이텍,000990,2019/12,3.18,11.16,60.48,,27.42,20.86,18.94,20.64,29.87,1.23,-0.56,19.18,3.74,36.43,22.44,,15.01,17.24,16.93,,11.32,30.50,,20.40,81.40,,54.44,24.51,,,12.27,18.48,12.36,63.57,77.56,-2.56,1.26,-0.09,0,80.59,4.04,0,1.52,12.04,16.02,300.44,2.13,5.34,4.84,0,57.62,77.81,6.83,2.36,12.55,"18,139.64","2,790",,"3,612.51","13,629.91",199.29,6.85,"4,069.90",38.79,12.27,63.36,34.03,61.21,59.23,40.77,289.95,103.34,76.67,192.43,168.83,19.93,0,196.81,25.54,336.29,0,58.52,68.82,34.03,25.48,34.79,110.62,18.63,23.20,39.16,13.43,16.83,40.71,1.99,49.70,82.82,126.35,38.68,67.98,15.77,21.28,17.87,0.75,0.82,1.36,3.63,1.70,24.22,15.07,2.01,2.28,17.05,21.41,0,18.86,"1,559.25",8.04,45.40,1.21,1.33,1.37,1.15,0.02,"278,991.63",140.98,407.99,,61.22,13.62,0,0,0,25.61,49.51,99.48,34.55,9.66,90.34,43.43,"278,991.63","160,488.29","26,956","10,136.34","1,152",0,"80,259",140.98,25.61,99.48,34.55,"1,979",10.60,3.67,2.12,0.73,7.99,2.76,1.59,0.55,"1,401,448.29","261,414.87",32.38,19.38,"5,873.02",5.36
(주)HJ 매그놀리아 용평 호텔 앤 리조트,070960,2019/12,4.82,4.65,0,,0,19.11,-4.46,-28.71,-61.68,1.73,4.57,-29.93,-5.10,10.22,-3.27,,-10.75,-0.42,-0.51,,-1.67,-1.04,,-3.43,-1.75,,-5.77,0,,,-0.18,-0.51,-1.68,89.78,103.27,-10.35,9.60,-0.91,0.77,113.30,3.16,0.11,8.27,11.81,6.10,82.31,2.91,7.26,7.83,0,34.26,39.15,0,0,0,"2,681.98",-288,,490.60,"7,979.61",64.48,0,-87.63,12.75,14.72,14.61,10.87,87.25,46.59,53.41,164.48,187.28,118.31,48.57,41.42,45.06,0,131.06,0,"1,203.03","4,366.65",10.89,114.65,56.35,64.88,58.29,0,-13.50,21.27,45.65,-0.32,-0.42,18.26,0.64,82.06,561.71,652.25,8.38,21.04,4.48,29.45,-0.34,0.16,0.16,0.32,0.54,0.30,80.51,4.53,1.22,1.41,8.80,41.48,21.25,597.05,18.76,6.07,60.14,0.18,0.18,0.42,0,0.01,"17,657.60",50.16,366.74,,-39.43,13.42,0,0,0,2.08,2.45,0,13.68,26.76,73.24,-78.60,"17,657.60","-17,577.34","4,725.26","12,387.41",273.34,162.75,"17,686.18",50.16,2.08,0,13.68,352,0,0,1.55,0.70,25.28,11.31,4.62,2.07,"420,691.44","13,468.20",10.43,1.03,279.81,31.24
(주)LG데이콤,015940,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)LG파워콤,045820,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)MH에탄올,023150,2019/12,1.32,-1.39,-13.29,,0,25.68,-13.14,0.10,-86.70,-6,-9.14,6.49,16.04,24.64,16.66,,-10.65,7.72,7.43,,-4.75,12.24,,-7.82,170.31,,-108.88,0,,,-4.06,12.30,-7.86,75.36,83.34,-23.99,1.55,0,0,107.27,4.97,0.45,1.44,3.01,6.94,97.52,1.76,2.89,2.90,0,101.53,111.38,49.56,3.83,0,"6,368.79",-752,,869.78,"7,140.62","1,321.96",0,"1,061",17.94,44.57,21.86,9.94,82.06,58.85,41.15,"1,293.90",139.43,95.53,127.22,70.51,0.01,0,112.91,208.35,0,397.28,0,69.91,23.96,29.96,45.95,704.61,3.84,35.32,60.01,7.59,-3.72,60.13,13.22,38.85,185.35,135.43,15.74,18.33,6.47,13.92,10.74,0.45,0.74,0.73,10.22,1.14,0,0,2.57,4.27,6.48,56.36,21.02,20.94,155.12,4.85,75.31,0.54,1.15,1.46,0.09,0.01,"1,602.24",34.09,999.84,,-106.49,53.65,0,0,0,1.59,3.91,79.62,3.41,157.38,-57.38,-312.37,"1,602.24","-3,444.06","2,521.68",728.95,38.70,227.10,"1,529.86",34.09,1.59,79.62,3.41,47,0,0,0.98,0.76,8.03,6.25,1.10,0.85,"80,995.43","9,358.45",19.91,9.07,"1,268.34",8.65
(주)S&TC,100840,2019/12,0.47,30.03,0,,698.64,77.87,6.17,45.38,129.64,0.53,2.95,44.61,1.98,16.04,7.24,,7.19,5.14,4.79,,4.76,6.16,,6.12,396.65,,393.92,24.08,,,4.42,4.95,4.92,83.96,92.76,2.21,-0.52,2.02,0.02,90.90,5.04,0.02,-0.55,0.93,10.28,0,-1.56,12.28,24.56,100,81.39,100.38,153.33,2.34,39.47,"27,018.88","2,027",,"-5,336.26","31,763.64","6,566.81",0.36,"1,955.54",61.02,5.01,156.56,57.97,38.98,74.10,25.90,"6,542.01",52.60,48.51,310.45,294.91,10.11,0,934.08,7.39,444.95,0,209.93,34.96,26.53,0,8.43,15.11,41.37,0.01,0.02,"2,833.92","999,999,999",74.38,65.67,88.19,62.77,157.58,-14.92,"-30,366.37",-3.87,-6.32,0,0.66,0.68,0.85,54.80,2.99,11.80,30.92,1.13,1.19,25.65,14.23,0,32.30,0,3.38,107.89,1.59,1.75,0.89,0.06,0.01,"29,794.35",155.99,"1,061.90",,76.33,50.55,0,0,0,8.99,25.79,"2,070.68",14.69,32.41,67.59,48.93,"29,794.35","19,171.78","9,655.46","-1,054.64",201.32,31.18,"1,789.24",155.99,8.99,"2,070.68",14.69,191,10.43,5.41,0.64,0.33,0,0,0.75,0.39,"128,225.67","16,468.94",8.12,"3,179.33","2,193.90",7.79
(주)S&T홀딩스,036530,2019/12,"1,965.89",-64.56,66.76,,48.67,0,-1.33,51.07,54.15,0,15.66,51.07,7.35,0,81.62,,83.92,2.28,2.14,,2.20,2.14,,2.20,107.66,,110.68,3.40,,,2.06,14.71,15.12,0,18.38,5.25,-5.22,0,0.02,17.46,77.40,0,-28.40,1.95,32.23,0,-247.29,0,0,0,75.51,101.86,90.73,1.82,81.97,675.66,602,,619.40,"25,102.61","5,077.97",0,551.49,7.61,0,8.23,7.61,92.39,99.94,0.06,"4,992.13",92.44,92.44,"13,604.82","13,604.82",6.27,0,0,0,0,0,0,0.06,0.06,0,0,0,7.55,0,0,"999,999,999","999,999,999",101.66,50.78,550.54,"3,262.02",292.35,"3,598.86",0,2.01,76.21,0,0.03,0.18,0.03,1.32,47.38,0,0,0.18,0.18,0,0,0,0,0,18.90,19.32,0.03,352.22,0.18,0.05,0.05,"10,641.94","1,064.19","1,101.59",,924.43,156.69,0,0,0,2.55,"17,836.80",0,96.61,14.72,85.28,86.87,"10,641.94","9,569.63","1,566.93",-574.91,40.83,0,39.45,"1,064.19",2.55,0,96.61,10,29.10,20.64,0.66,0.47,26.64,18.89,24.42,17.32,"249,905.05","9,030.95",81.98,0,553.91,27.67
(주)SH에너지화학,002360,2019/12,10.74,-3.61,0,,0,-23.82,-6.42,-23.56,-72,1.28,6.99,-24.53,-8.02,4.56,-1.71,,-2.28,-1.62,-1.95,,-2.60,-2.35,,-3.13,-4.24,,-5.65,0,,,-2.83,-2.14,-2.85,95.44,101.71,-0.73,-0.20,0.15,0,102.41,2.61,0,-0.19,1.72,8.87,0,-1.37,1.48,2.12,0,35.02,43.94,0,0,0,"1,243.13",-28.50,,130.54,867.69,76.78,0.07,-21.26,61.75,21.24,161.43,48.63,38.25,80.40,19.60,174.72,47.58,40.61,"1,062.65",836.92,50.13,0,114.86,23.45,"1,817.86",184.61,6.32,24.38,7.23,41.40,17.15,24.65,55.94,7.23,9,-18.20,"999,999,999",35.33,0.77,55.15,32.44,80.19,39.58,107.23,7.76,6.80,0,1.14,1.25,1.37,2.48,6.81,140.98,2.59,1.81,2.39,7.52,48.54,12.03,22.18,218.23,6.31,57.83,3.08,4.38,1.66,0,0.01,"2,764.68",17.50,874.44,,-19.95,23.67,0,0,0,2.28,8.96,20.67,2,135.27,-35.27,-114,"2,764.68","-3,369.60","3,739.67",-278.30,210.10,0,"2,462.82",17.50,2.28,20.67,2,158,0,0,1.75,1.02,11.61,6.75,1.22,0.71,"84,623.73",99.62,0.07,0.77,0.90,849.43
(주)SIMPAC,009160,2019/12,-2.12,-17.90,16.94,,-81.55,-32.66,1.97,45.79,-56.82,-1.80,8.24,48.46,36.58,8.89,2.15,,2.94,2.42,1.36,,1.86,2.03,,2.77,25.79,,35.17,22.96,,,1.28,2.07,2.83,91.11,97.85,1.66,-0.92,0.66,0.03,96.29,2.81,0,-0.93,2.92,12.17,125.90,-1.77,2.80,2.83,100,15.52,96.11,11.10,0.87,31.57,"5,990.73",190,,690,"6,320.45","1,229.34",0,128.97,36.85,31.18,58.36,25.36,63.15,68.87,31.13,"1,281.43",91.69,89.28,125.92,86.65,45.69,0,63.79,151.49,176.02,91.12,36.24,45.20,42.49,97.74,2.70,24.55,7.59,17.30,25.12,2.86,"999,999,999",66.07,12.29,63.47,94.33,97.38,21.49,38.66,6.69,10.39,0,0.63,0.96,0.94,11.98,1.93,12.57,29.03,1.58,2.42,4.51,80.93,7.17,22.67,33.19,7.75,47.13,1.06,2.53,0.89,0,0.01,"33,678.74",68.59,798.31,,23.44,22.18,0,0,0,5.53,22.19,110.84,8.59,32.34,67.66,34.17,"33,678.74","14,937.22","10,891.78","-3,592.71",108.80,0,"11,333.66",68.59,5.53,110.84,8.59,491,23.11,13.08,0.64,0.36,5.89,3.33,0.68,0.38,"195,527.07","19,771.96",5.04,6.71,302.19,9.89
