회사명,거래소코드,회계년도,유형자산증가율,유동자산증가율,영업이익증가율,경상이익증가율 (2007년 이전 발생),순이익증가율,재고자산증가율,자기자본증가율,매출액증가율,종업원1인당 부가가치증가율,종업원수증가율,비유동자산증가율,종업원1인당 매출액증가율,종업원1인당 인건비증가율,매출액총이익률,매출액영업이익률,매출액경상이익률 (2007년 이전 발생),매출액순이익률,총자본사업이익률,총자본영업이익률,총자본경상이익률 (2007년 이전 발생),총자본순이익률,자기자본영업이익률,자기자본경상이익률 (2007년 이전 발생),자기자본순이익률,자본금영업이익률,자본금경상이익률 (2007년 이전 발생),자본금순이익률,조세 대 조세차감전순이익률,기업경상이익률 (2007년 이전 발생),투자수익률 (2007년 이전 발생),기업순이익률,경영자본영업이익률,경영자본순이익률,매출원가 대 매출액비율,영업비율,영업외손익률,금융비용부담률,외환이익 대 매출액비율,광고선전비 대 매출액비율,수지비율,인건비 대 총비용비율,조세공과 대 총비용비율,금융비용 대 총비용비율,감가상각비 대 총비용비율,감가상각률,누적감가상각률,이자부담률,지급이자율,차입금평균이자율,사내유보율,사내유보 대 자기자본비율,적립금비율(재정비율),평균배당률,자기자본배당률,배당성향,1주당매출액(원),EPS(Earning Per Share)(원),1주당경상이익 (2007년 이전 발생)(원),CPS(Cash flow Per Share)(원),BPS(Book-value Per Share)(원),유보율,R & D 투자효율,1주당영업이익(원),유동자산구성비율,재고자산 대 유동자산비율,유동자산 대 비유동자산비율,당좌자산구성비율,비유동자산구성비율,자기자본구성비율,타인자본구성비율,자기자본배율,비유동비율,비유동장기적합률,유동비율,당좌비율,현금비율,원재료비율,매출채권비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,매출채권 대 상,제품비율,매입채무 대 재고자산비율,부채비율,유동부채비율,단기차입금 대 총차입금비율,비유동부채비율,비유동부채 대 순운전자본비율,순운전자본비율,차입금의존도,차입금비율,이자보상배율(이자비용),이자보상배율(순금융비용),유보액대비율,유보액 대 납입자본배율,유동자산집중도,비유동자산집중도,투자집중도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,영업이익대비이자보상배율,총자본회전률,경영자본회전률,자기자본회전률,자본금회전률,타인자본회전률,매입채무회전률,매입채무회전기간,유동자산회전률,당좌자산회전률,재고자산회전률,재고자산회전기간,상품,제품회전률,원,부재료회전률,재공품회전률,매출채권회전률,매출채권회전기간,비유동자산회전률,유형자산회전율,순운전자본회전률,운전자본회전률,1회전기간,부가가치(백만원),종업원1인당 부가가치(백만원),종업원1인당 매출액(백만원),종업원1인당 경상이익 (2007년 이전 발생)(백만원),종업원1인당 순이익(백만원),종업원1인당 인건비(백만원),노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,부가가치(백만원),법인세비용차감전(계속사업)손익(백만원),인건비(백만원),금융비용(백만원),임차료(백만원),조세공과(백만원),감가상각비(백만원),종업원1인당 부가가치(백만원),총자본투자효율,기계투자효율,부가가치율,종업원수,PER(Price earnings ratio)(최고),PER(Price earnings ratio)(최저),PBR(Price book-value ratio)(최고),PBR(Price book-value ratio)(최저),PCR(Price cash-flow ratio)(최고),PCR(Price cash-flow ratio)(최저),PSR(Price sales ratio)(최고),PSR(Price sales ratio)(최저),기업가치(EV)(백만원),EBITDA(백만원),EBITDA/매출액(%),EBITDA/금융비용(배),EBITDA/평균발행주식수(백만원),EV/EBITDA(배)
(주)DB Inc.,012030,2009/12,-1.65,-21.14,22.41,0,-92.19,6.12,39.2,7.9,-27.02,2.18,77.17,5.59,1.05,18.22,5.3,0,0.67,3.47,2.79,0,0.35,6.9,0,0.87,51.8,0,6.55,38.81,0,0,2.55,4.73,0.6,81.78,94.7,-4.27,4.17,0.02,0.27,99.02,2.91,0.06,3.97,1.58,12.91,135.46,3.68,5.76,6.84,0,70.36,93.32,9.9,1.13,151.04,48838.69,331,0,2475.56,43164.29,774.71,2.21,2589.97,21.25,54.79,26.98,9.61,78.75,40.33,59.67,873.37,195.28,141.88,47.75,21.59,2.61,0,69.23,0,140.53,149.23,49.26,147.97,110.34,78.04,37.63,0,-23.25,42.79,106.1,0.97,1.25,35.77,7.75,53.43,136.58,105.45,1.6,2.23,0.95,2.12,1.27,0.53,0.89,1.3,9.77,0.88,8.18,44.61,1.87,3.53,3.99,91.49,8.1,16.03,0,5.12,71.35,0.73,1.72,0.68,1.08,0.01,20320.12,72.31,695.21,0,4.67,21.26,399.98,32.29,1541.4,4.69,18.08,223.96,10.4,29.4,70.6,6.45,20320.12,2024,5973.91,8139.72,821.63,118.51,3242.36,72.31,4.69,223.96,10.4,281,68.2,23.04,0.52,0.17,9.03,3.05,0.46,0.15,245935.25,13602.25,6.96,1.28,3400.56,18.08
(주)DB하이텍,000990,2009/12,-21.08,-17.64,0,0,0,-15.43,-26.7,-14.45,75.31,-3.42,-28.74,-11.42,0.04,12.78,-11.31,0,-15.3,-4.42,-4.51,0,-6.1,-17.49,0,-23.66,-69.35,0,-93.82,0,0,0,-0.26,-4.89,-6.62,87.22,111.31,-3.24,14.64,1.73,0.35,110.3,2.87,0.12,9.4,13.92,15.17,53.34,7.87,11.95,10.15,0,-68.05,47.7,0,0,0,30427.68,-5361,0,2540.9,15802.81,279.91,7.54,-3442.12,21.81,50.87,27.9,10.72,78.19,25.77,74.23,332.97,303.43,99.57,101.58,49.91,11.64,0,55.76,3260.57,102.38,147.05,54.47,288.09,83.34,17.74,204.75,15501.75,0.34,58.57,227.32,-0.76,0.01,21.66,2.8,51.28,199.51,201.34,2.46,3.12,1.83,3.88,-0.77,0.4,0.43,1.55,6.13,0.54,7.81,46.75,1.95,3.91,3.89,93.85,10.25,13.32,29.15,7.61,47.97,0.5,0.58,0.81,0.27,0.01,316122.94,94.08,343.12,0,-52.51,15.36,512.11,226.33,728.6,12.91,18.37,41.57,27.42,16.32,83.68,-55.81,316122.94,-167796.72,51604.73,168802.32,11268.48,2197.96,250046.18,94.08,12.91,41.57,27.42,3360,0,0,0.81,0.2,5.02,1.24,0.42,0.1,1639818.26,119625.75,10.38,0.7,3157.22,13.71
(주)HJ 매그놀리아 용평 호텔 앤 리조트,070960,2009/12,-0.34,-37.68,-89.91,0,0,-53.95,-1.57,-44.08,0,0,-0.07,0,0,12.73,2.09,0,-3.41,0.32,0.3,0,-0.49,0.94,0,-1.53,1.39,0,-2.27,0,0,0,0.43,0.3,-0.49,87.27,97.91,-5.5,6.45,0.26,2.7,103.32,2.01,0.07,6.08,14.75,4.79,45.43,1.35,5.62,5.52,0,-25.77,-25.77,0,0,0,3321.85,-113,0,118.93,7273.31,46.92,0,69.47,8.37,47.32,9.13,4.41,91.63,32.46,67.54,146.92,282.32,107.97,55.31,29.14,9.22,0,83.93,0,416.78,85.08,20.14,208.1,46.63,67.78,161.48,0,-6.76,17.16,52.87,0.32,0.47,10.37,0.47,74.27,624.56,681.17,-2.97,-11.7,-2.01,-13.68,0.32,0.14,0.14,0.45,0.66,0.21,4.14,88.13,1.35,3.18,2.34,156.2,2.36,463.74,0,4.02,90.7,0.16,0.16,0.51,0.45,0.01,26718.89,0,0,0,0,0,0,0,0,3.11,3.41,199.52,21.17,10.08,89.92,-16.12,26718.89,-4306.97,2693.99,8136.86,355.73,88.08,19751.21,0,3.11,199.52,21.17,0,0,0,0,0,0,0,0,0,140959.48,22390.97,17.74,2.7,589.24,6.3
(주)LG데이콤,015940,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)LG파워콤,045820,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)MH에탄올,023150,2009/12,77.46,-35.55,5.92,0,0,-29.34,30.93,1.5,1936.15,3.57,91.73,-2,-6.33,27.02,16.98,0,3.01,9.26,7.53,0,1.33,18.71,0,3.31,168.8,0,29.88,63.74,0,0,3.11,10.54,1.87,72.98,83.02,-9.52,4.01,4.91,0.02,93.18,5.95,0.81,3.93,4.72,12.8,84.91,2.98,5.77,6.38,0,29.7,55.52,0,0,0,6260.7,188,0,839.5,6352.23,923.17,0,1062.82,24.89,15.24,33.14,21.1,75.11,40.58,59.42,1023.17,185.08,167.61,45.1,38.23,0.94,0,125.03,0,0,400.21,0,146.41,135.99,97.11,10.42,0,-30.3,54.09,133.28,2.14,2.86,36.62,9.23,80.53,144.89,158.71,12.24,13.45,7.27,18.44,4.23,0.44,0.62,1.1,9.94,0.74,0,0,1.24,1.45,8.61,42.4,50.39,19.69,194.21,11.9,30.66,0.69,1.44,0.52,0.05,0.01,10269.73,177.06,755.6,0,22.71,45.84,667.52,23.19,1915.93,9.24,26.53,763.53,23.43,25.89,74.11,12.82,10269.73,3268.82,2658.94,1758.46,110.43,363.36,2109.73,177.06,9.24,763.53,23.43,58,40.34,26.84,1.19,0.79,9.04,6.02,1.21,0.81,98694.39,9549.49,21.79,2.75,1364.21,10.34
(주)S&TC,100840,2009/12,0,0,0,0,0,0,0,0,0,0,0,0,0,32.22,24.09,0,19.37,15.79,14.85,0,11.94,25.56,0,20.55,1242.97,0,999.47,24.2,0,0,11.66,14.96,12.03,67.78,75.91,1.33,-0.46,0.35,0.05,76.51,3.69,0.17,-0.55,0.95,7.93,75.13,-0.67,3.87,3.87,100,36.4,61.61,94.14,1.94,9.42,25799.45,5273,0,4875.35,23497.36,4963.43,0.53,6214.85,58.42,3.23,140.51,56.53,41.58,58.11,41.89,4862.94,71.55,63.86,167.46,162.05,6.02,0,982.54,8.02,205.85,0,477.32,72.09,60.03,0,12.05,29.76,23.53,16.87,29.03,22.76,999999999,59.31,49.63,94.75,67.43,160.97,27.82,69.08,11.65,18.9,0,0.62,0.62,1.06,51.6,1.47,6.84,53.34,1.06,1.09,32.66,11.18,0,35.3,0,3.32,109.8,1.48,1.54,0.66,0.03,0.01,53036.7,296.29,1021.11,0,197.79,31.17,658.27,10.28,1656.06,17.89,45.01,2881.37,29.02,10.52,89.48,66.75,53036.7,46454.3,5579.81,-832,140.84,255.94,1437.82,296.29,17.89,2881.37,29.02,179,7.7,2.42,1.64,0.51,7.9,2.48,1.49,0.47,287529.4,45467.64,24.88,23.51,6417.8,6.32
(주)S&T홀딩스,036530,2009/12,35.2,387.64,47.1,0,-18.98,0,-2.08,-4.04,24.03,0,-8.54,-4.04,5.72,72.24,67.9,0,53.94,5.41,5.36,0,4.26,5.89,0,4.68,281.17,0,223.37,21.61,0,0,4.21,102.85,81.7,27.76,32.1,0.63,-0.62,0,0.82,31.9,7.64,0.89,-1.94,0.19,13.68,10.84,-0.55,0,0,0,38.26,71.82,42.41,0.9,18.99,2070.6,1117,0,188.5,23391.65,4622,0,1405.85,8.68,0,9.51,8.68,91.32,90.81,9.19,4721.51,100.56,92.07,1057.37,1057.37,97.79,0,0,0,0,0,0,10.12,0.9,0,9.22,106.51,7.86,0,0,999999999,999999999,88.89,46.22,65.68,1200.08,109.41,19.28,0,1.77,22.25,0,0.08,1.51,0.09,4.14,0.88,0,0,1.52,1.52,0,0,0,0,0,51.29,7.12,0.08,808.75,1.41,0.02,0.14,22474.55,2809.32,3966.09,0,2139.21,97.26,5.64,0,49796.63,5.64,49828.28,0,70.83,3.46,96.54,76.15,22474.55,21742.15,778.11,-198.1,42.98,90.18,19.22,2809.32,5.64,0,70.83,8,14.95,4.55,0.71,0.22,88.59,26.95,8.07,2.45,215182.68,21561.58,67.96,0,1407.1,9.98
(주)SH에너지화학,002360,2009/12,-5.34,24.13,483.14,0,0,40.66,4.48,-1.57,0,-1.75,-5.21,0.18,8.16,10.59,4.34,0,3.29,6.91,6.06,0,4.6,8.7,0,6.61,10.64,0,8.09,-14.37,0,0,5.1,7.94,6.03,89.41,95.66,-1.53,0.36,-0.55,0.05,97.27,1.6,0.07,0.36,1.55,6.39,59.66,1.64,5.97,5.92,0,6.47,15.36,0,0,0,1227.54,41,0,45.13,621.35,26.38,0.05,53.22,33.88,19.22,51.24,27.37,66.12,70.11,29.89,125.02,94.31,88.78,132.75,107.23,5.09,0,287.68,77.92,3544.93,910.47,8.12,42.64,36.41,0,6.23,52.28,8.36,22.18,31.64,4.5,8.9,14.79,0.26,22.22,49.35,56.5,19.24,25.93,5.75,4.18,12.2,1.4,1.83,2.01,2.46,4.6,422.44,0.86,4.5,5.5,24.71,14.77,65.47,43.94,443.77,7.8,46.81,2.03,3.22,2.47,0,0.02,8947.66,79.89,1221.84,0,40.24,19.6,367.62,128.52,887.5,9,21.73,62.16,6.54,24.54,75.46,50.37,8947.66,3840.8,2195.51,486.26,196.05,100.08,2128.96,79.89,9,62.16,6.54,112,21.02,8.78,1.37,0.57,18.83,7.87,0.69,0.29,78258.85,8061.54,5.89,6.12,72.31,9.71
(주)SIMPAC,009160,2009/12,-30.15,-21.47,31.92,0,-46.32,-11.63,12.81,-7.02,-30.37,-6.73,44.44,-0.31,-3.72,20.98,9.6,0,11.17,7.46,6.87,0,8,11.97,0,13.93,85.36,0,99.36,21.08,0,0,8.07,10.16,11.83,79.02,90.4,4.47,0.1,-1.3,0.03,87.29,4.74,0.09,0.11,2.14,14.89,124.41,0.17,7.39,7,100,58.14,89.09,14.57,1.93,14.66,4446.45,555,0,466.8,3707.14,672.98,0,426.81,41.74,26.81,71.65,30.55,58.26,58.87,41.13,756,98.97,94.98,107.96,79.02,10.23,0,179.5,363.76,106.81,395.28,168.05,69.88,65.68,0,4.19,80.26,3.08,8.7,14.77,10.35,137.17,52.4,6.73,68.52,71.19,80.7,12.22,57.82,5.03,7.26,92.87,0.72,1.06,1.25,8.89,1.68,3.71,98.52,1.46,1.95,5.81,62.86,15.11,21.86,17.55,3.75,97.2,1.4,3.9,0.81,0.17,0.02,25754.47,132.76,631.69,0,70.58,28.94,120.62,18.43,912.26,14.55,110.06,720.4,21.02,21.8,78.2,53.17,25754.47,17247.19,5615.04,126.66,126.26,104.17,2535.15,132.76,14.55,720.4,21.02,194,7.99,4.54,1.07,0.61,8.5,4.83,0.89,0.51,92725.03,14298.48,11.67,12.58,518.79,6.48
