번호,회사명,상장여부,고유코드,시장코드,감리대상연도,조치일,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
69,(주)카스,코스닥시장,00152260,016920,2010~2013,2019-03-13,0,0,0,0,0,0,1,1,1,1,0,0,,,,,,,,,,,
70,"위너지스(구, 카테아)",코스닥시장,00207223,026260,2015 ~ 2017.6.30.,2018-03-28,0,0,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,
71,(주)케이엔씨글로벌,코스닥시장,00394778,068150,2013,2016-11-09,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,
72,(주)케이지모빌리언스,코스닥시장,00405278,046440,2011~2015,2017-12-13,0,0,0,0,1,1,1,1,1,0,0,0,,,,,,,,,,,
73,(주)케이지이니시스,코스닥시장,00264547,035600,2014~2015,2017-12-13,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,
74,(주)케이티앤지,유가증권시장,00244455,033780,2011~2018,2020-07-15,0,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,
76,"디에스티(구, 코리드)",코스닥시장,00244419,033430,"2010~2012, 2014~2016.6.30",2016-11-09,0,0,0,1,1,1,0,1,1,1,0,0,,,,,,,,,,,
78,(주)티피씨메카트로닉스(TPC),코스닥시장,00108649,048770,2014~2016.9.30.,2019-10-30,0,0,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,,
79,(주)파이오링크,코스닥시장,00492353,170790,2010~2014,2019-02-27,0,0,0,0,0,1,1,1,1,1,0,0,,,,,,,,,,,
83,(주)한일진공,코스닥시장,00809429,123840,2016~2018.6.30.,2020-01-22,0,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
84,(주)한진중공업,유가증권시장,00633835,097230,2014~2015,2018-04-25,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,
85,(주)한진피앤씨,코스닥시장,00163619,061460,2012~2013,2017-06-21,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,
88,(주)효성,유가증권시장,00117188,004800,2013년~2016.3분기,2017-07-19,0,0,0,1,1,1,1,0,0,0,0,0,,,,,,,,,,,
90,KD건설(주),코스닥시장,00111218,044180,2009~2010,2016-12-21,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,
91,KG케미칼(주),유가증권시장,00101220,001390,2015,2017-12-13,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,
94,경남제약(주),코스닥시장,00307028,053950,2008~2013,2018-02-28,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,
95,계룡건설산업㈜,유가증권시장,00102432,013580,2010~2013.9월,2016-02-03,0,0,0,0,0,0,1,1,1,1,0,0,,,,,,,,,,,
99,뉴프라이드코퍼레이션,코스닥시장,00111704,042660,2018,2020-03-11,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
100,대우조선해양(주),유가증권시장,00111704,042660,2008년~2016.1분기,2017-02-23,0,0,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
102,도이치모터스(주),코스닥시장,00449379,067990,2016~2017.9.30.,2019-06-05,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
104,동양물산기업(주),유가증권시장,00117230,002900,2015~2016.3분기,2018-01-10,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,
105,롯데칠성음료(주),유가증권시장,00120571,005300,2017.1.1.~2017.6.30.,2018-09-05,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
107,미래에셋생명보험(주)(舊 피씨에이생명보험(주)),유가증권시장,00112332,085620,2011~2016,2019-10-16,0,0,0,1,1,1,1,1,1,0,0,0,,,,,,,,,,,
110,삼성바이오로직스(주),유가증권시장,00877059,207940,2012~2018.6.30.,2018-11-14,0,1,1,1,1,1,1,1,0,0,0,0,,,,,,,,,,,
111,삼영이엔씨(주),코스닥시장,00288343,065570,2010~2016,2019-09-25,0,0,0,1,1,1,1,1,1,1,0,0,,,,,,,,,,,
115,신화실업(주),유가증권시장,00137809,001770,2009~2018,2020-01-08,0,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,
116,아래스(주)(舊 (주)에이앤티앤),코스닥시장,00245898,050320,"2017, 2018",2020-07-15,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
117,에스엘㈜,유가증권시장,00125521,005850,2013~2018,2020-05-20,0,1,1,1,1,1,1,0,0,0,0,0,,,,,,,,,,,
