"","corp_code","corp_name","stock_code","modify_date"
"132","00428668","코로볼틴펀드리미티드",NA,20170630
"133","00430751","대창크랑크",NA,20170630
"134","00385372","허츠제일차유동화전문유한회사",NA,20170630
"135","00431680","새암교육",NA,20170630
"136","00386308","반지종합상가",NA,20170630
"137","00256450","동서산업건설(가칭)",NA,20170630
"138","00290816","대우종합기계(가칭)",NA,20170630
"139","00291532","대우조선공업(가칭)",NA,20170630
"140","00127990","삼일상호저축은행",NA,20170630
"141","00431565","케이디에스에스",NA,20170630
"142","00399959","비젼케이파트너스",NA,20170630
"143","00430238","리버랜드",NA,20170630
"144","00263034","동양선재",NA,20170630
"145","00205298","춘천미도파",NA,20170630
"146","00431042","거버너스M&A사모펀드3호",NA,20170630
"147","00348715","아이앤비골드문브이에이치",NA,20170630
"148","00447964","체리미디어",NA,20170630
"149","00448361","경원하이텍",NA,20170630
"150","00185851","중원화학",NA,20170630
"151","00445735","나크나인",NA,20170630
"152","00385770","동남해상관광호텔",NA,20170630
"153","00319245","한성선박",NA,20170630
"154","00126502","삼성콘크리트공업",NA,20170630
"155","00363440","엠알더블유테크노로지",NA,20170630
"156","00445522","제이에이치홀딩스",NA,20170630
"157","00320302","동연산업",NA,20170630
"158","00444958","우양주택건설",NA,20170630
"159","00441836","해진하우징",NA,20170630
"160","00445203","대림전자",NA,20170630
"161","00445629","효헌산업",NA,20170630
"162","00454052","우림산업개발",NA,20170630
"163","00454414","에이스하이테크",NA,20170630
"164","00196857","해표푸드서비스",NA,20170630
"165","00413383","에프씨산업",NA,20170630
"166","00225098","극동뉴메릭",NA,20170630
"167","00410304","서울드림랜드",NA,20170630
"168","00310998","한국미라이공업",NA,20170630
"169","00415114","21세기화장품",NA,20170630
"170","00451000","광명산업",NA,20170630
"171","00369985","다음솔루션",NA,20170630
"172","00199809","이성화학",NA,20170630
"173","00371670","정우조명",NA,20170630
"174","00401430","모바일웰컴",NA,20170630
"175","00247027","푸른건설",NA,20170630
"176","00144058","월다크",NA,20170630
"177","00416867","길도건업",NA,20170630
"178","00456263","원일스포지움",NA,20170630
"179","00436339","용인자원",NA,20170630
"180","00120748","마산강관",NA,20170630
