회사명,거래소코드,회계년도,회계년월,회계감사법인,회계년월,기수,감사인,비고,보수(천원),시간구분,총소요시간,내용,회계년월,기수,비고,내용,용역수행기간,보수(천원),계약일
(주)영원통신,028520,1993/12,,,,,,,,,,,,,,,,,
(주)영풍,000670,2019/12,2019/12,한영회계법인,2019/12,69,한영회계법인,,340000,10,3840,"분ㆍ반기 재무제표 검토, 별도ㆍ연결재무제표에 대한 감사",,,,,,,
(주)영흥,012160,2019/12,2019/12,안경회계법인,2019/12,43,안경회계법인,,100000,10,1259,별도 및 연결 반기 재무제표 검토 별도 및 연결 재무제표에 대한 감사,,,,,,,
(주)예스코홀딩스,015360,2019/12,2019/12,삼일회계법인,2019/12,39,삼일회계법인,,160000,10,2312,"분ㆍ반기재무제표 검토, 기말, 연결 재무제표 감사, 내부회계 관리제도 검토",,,,,,,
(주)오뚜기,007310,2019/12,2019/12,성도이현회계법인,2019/12,49,성도이현회계법인,,220000,10,2831,분반기 검토 및 기말감사,,,,,,,
(주)오라바이오틱스,016160,2009/12,,,,,,,,,,,,,,,,,
(주)오리엔트바이오,002630,2019/03,2019/03,대영회계법인,2019/03,62,대영회계법인,,82000,10,1698,분ㆍ반기 재무제표 검토 개별 및 연결 재무제표에 대한 감사,,,,,,,
(주)오리온,271560,2019/12,2019/12,삼일회계법인,2019/12,3,삼일회계법인,,320000,10,3608,"분,반기재무제표,개별재무제표,연결재무제표",,,,,,,
(주)오리온홀딩스,001800,2019/12,2019/12,삼일회계법인,2019/12,64,삼일회계법인,,200000,10,2713,"분,반기재무제표, 개별재무제표,연결재무제표",,,,,,,
(주)온미디어,045710,2009/12,,,,,,,,,,,,,,,,,
(주)와이지플러스,037270,2019/12,2019/12,한영회계법인,2019/12,24,한영회계법인,,130000,10,1783,반기검토 및 결산감사,,,,,,,
(주)우단,028650,1993/12,,,,,,,,,,,,,,,,,
(주)우생,028570,1993/12,,,,,,,,,,,,,,,,,
(주)우성건설,008640,1999/12,,,,,,,,,,,,,,,,,
(주)우성사료,006980,2019/12,2019/12,안진회계법인,2019/12,50,안진회계법인,,105000,10,1477,"반기재무제표검토, 개별ㆍ연결 재무제표등에 대한 감사",,,,,,,
(주)우신시스템,017370,2019/12,2019/12,대주회계법인,2019/12,36,대주회계법인,,98000,10,1268,중간기간 재무제표 검토 개별재무제표 감사 연결재무제표 감사,,,,,,,
(주)우진,105840,2019/12,2019/12,베율회계법인,2019/12,40,회계법인 베율,,160000,10,1910,"기말감사보고서, 반기검토보고서 (별도, 연결)",,,,,,,
(주)우진아이엔에스,010400,2019/12,2019/12,신우회계법인,2019/12,45,신우회계법인,,94000,10,1250,-별도 및 연결 분반기 재무제표에 대한 검토 -별도 및 연결 재무제표에 대한 감사,,,,,,,
(주)우진플라임,049800,2019/12,2019/12,광교회계법인,2019/12,28,광교회계법인,,80000,10,1315,-반기검토 -기말 연결 및 별도감사 -내부회계관리제도 검토,2019/12,28,광교회계법인,세무조정,2020.03.26~2020.03.30,10000,20200326
(주)웅진,016880,2019/12,2019/12,한영회계법인,2019/12,37,한영회계법인,,370000,10,3761,회계감사용역,,,,,,,
(주)웅진씽크빅,095720,2019/12,2019/12,한영회계법인,2019/12,13,한영회계법인,,240000,10,2750,별도 및 연결 재무제표 검토 별도 및 연결 재무제표 감사,,,,,,,
(주)원림,005820,2019/12,2019/12,한울회계법인,2019/12,52,한울회계법인,,58000,10,1036,"반기검토,중간감사,결산(연결포함)감사",,,,,,,
(주)위너스인프라인,005760,2008/10,,,,,,,,,,,,,,,,,
(주)위스컴,024070,2019/12,2019/12,삼영회계법인,2019/12,42,삼영회계법인,,43000,10,1100,반기재무제표 검토 개별재무제표 감사 내부회계관리제도 연결재무제표 감사,2019/12,42,,법인세 세무조정,2020년3월,13000,20200200
(주)윌비스,008600,2019/12,2019/12,신한회계법인,2019/12,47,신한회계법인,,140000,10,1502,분기 재무제표 검토 반기 재무제표 검토 연간 재무제표 감사 연결재무제표 감사 내부회계관리제도 검토,,,,,,,
(주)유니드,014830,2019/12,2019/12,한영회계법인,2019/12,40,한영회계법인,,232200,10,2709,"분,반기,연간 별도(연결) 재무제표감사(검토)",,,,,,,
(주)유니온,000910,2019/12,2019/12,한영회계법인,2019/12,68,한영회계법인,,139000,10,1687,연결재무제표/재무제표 감사(반기/기말),,,,,,,
(주)유니켐,011330,2019/12,2019/12,우리회계법인,2019/12,45,우리회계법인,,98000,10,891,"2019.01.01~2019.12.31 개별,연결회계감사",,,,,,,
(주)유성티에스아이,024870,2009/12,,,,,,,,,,,,,,,,,
(주)유수홀딩스,000700,2019/12,2019/12,삼정회계법인,2019/12,82,삼정회계법인,,140000,10,1541,반기 재무제표 검토 별도 및 연결 재무제표에 대한 감사 영문보고서 작성,2019/12,82,,세무조정,2019.01.01~2019.12.31,7000,20191200
(주)유양디앤유,011690,2019/12,2019/12,한영회계법인,2019/12,44,한영회계법인,,115000,10,1436,"분·반기검토,기말,연결감사",,,,,,,
(주)유유제약,000220,2019/12,2019/12,한영회계법인,2019/12,80,한영회계법인,,100000,10,1283,"반기(연결)재무제표검토, 재무제표(연결)감사내부회계관리제도 검토",,,,,,,
(주)유한양행,000100,2019/12,2019/12,삼일회계법인,2019/12,97,삼일회계법인,,270000,10,2795,"분ㆍ반기 별도 및 연결 재무제표 검토, 별도 및 연결 재무제표에 대한 감사",2019/12,97,,매출액 등 확인서 작성,2019.09.09~2019.09.16,1000,20190910
(주)이노션,214320,2019/12,2019/12,한영회계법인,2019/12,15,한영회계법인,,290000,10,3446,연결/별도재무제표 정기감사,,,,,,,
(주)이마트,139480,2019/12,2019/12,삼일회계법인,2019/12,9,삼일회계법인,,998000,10,11041,분/반기 연결ㆍ별도재무제표 검토 연결ㆍ별도 재무제표 감사 및 내부회계관리제도 감사,2019/12,9,,용산점 매출액 확인,2019.04.02~2019.04.12,1500,20190402
(주)이마트,139480,2019/12,2019/12,삼일회계법인,2019/12,9,삼일회계법인,,998000,10,11041,분/반기 연결ㆍ별도재무제표 검토 연결ㆍ별도 재무제표 감사 및 내부회계관리제도 감사,2019/12,9,,수입판매업 매출액 확인,2019.10.22~2019.10.30,2500,20191022
(주)이마트,139480,2019/12,2019/12,삼일회계법인,2019/12,9,삼일회계법인,,998000,10,11041,분/반기 연결ㆍ별도재무제표 검토 연결ㆍ별도 재무제표 감사 및 내부회계관리제도 감사,2019/12,9,,PK마린시티점 매출액 확인,2019.04.02~2019.04.12,1500,20190402
(주)이마트,139480,2019/12,2019/12,삼일회계법인,2019/12,9,삼일회계법인,,998000,10,11041,분/반기 연결ㆍ별도재무제표 검토 연결ㆍ별도 재무제표 감사 및 내부회계관리제도 감사,2019/12,9,,부츠 매출액 확인,2019.04.23~2019.04.29,4000,20190423
(주)이수페타시스,007660,2019/12,2019/12,대성삼경회계법인,,,,,,,,,,,,,,,
(주)이수화학,005950,2019/12,2019/12,선진회계법인,2019/12,52,선진회계법인,,140000,10,2268,연결재무제표 감사 별도재무제표 감사 분ㆍ반기 재무제표 검토 내부회계관리제도 검토,,,,,,,
(주)이스타코,015020,2019/12,2019/12,다산회계법인,2019/12,40,다산회계법인,,70000,10,634,"재무제표의 검토 및 감사 (분기, 반기검토 / 기말, 연결감사)",2019/12,40,VAT 별도,세무조정및자문,2020.03.2~2020.03.28,6000,20200100
(주)이아이디,093230,2019/12,2019/12,세정회계법인,2019/12,18,세정회계법인,,90000,10,1113,"반기검토, 중간감사기말감사, 연결감사",2019/12,18,,세무조정,1년,5000,
(주)이원,017940,2019/12,2019/12,한영회계법인,2019/12,36,한영회계법인,,289000,10,5114,1분기 별도 재무제표 검토 (2019.4.15 ~ 4.19) 1분기 연결 재무제표 검토 (2019.5.2 ~ 5.7) 반기 별도 재무제표 검토 (2019.7.15 ~ 7.19) 반기 연결 재무제표 검토 (2019.8.1 ~ 8.5) 3분기 별도 재무제표 검,,,,,,,
(주)이월드,084680,2019/12,2019/12,삼일회계법인,2019/12,15,삼일회계법인,,135000,10,2129,"반기,중간,기말",,,,,,,
(주)이지닷컴,012260,2001/12,,,,,,,,,,,,,,,,,
(주)이트로닉스,013090,2001/12,,,,,,,,,,,,,,,,,
(주)인디에프,014990,2019/12,2019/12,삼정회계법인,2019/12,40,삼정회계법인,,148000,10,1628,"상반기검토, 중간감사, 결산감사,연결감사 기타(재고실사, 보고서 작성 등)",2019/12,40,,법인세 세무조정계산서  작성 및 전자신고,계약일로부터2020년3월31일까지,8000,20190508
(주)인스코비,006490,2019/12,2019/12,현대회계법인,2019/12,50,현대회계법인,,120000,10,824,2019년도 반기검토 및 기말 K-IFRS에 의한 별도 및 연결 감사,2019/12,50,,세무조정업무,2019.04.30~2020.03.31,10000,20190430
(주)인팩,023810,2019/12,2019/12,삼정회계법인,2019/12,47,삼정회계법인,,130000,10,2511,"반기 재무제표 검토, 연말 개별재무제표 감사 연결재무제표 감사",2019/12,47,,세무조정,2019.04.01~2020.03.31,8000,20191031
(주)일신석재,007110,2019/12,2019/12,삼일회계법인,2019/12,49,삼일회계법인,(부가세 별도),79000,10,620,외부감사 / 내부회계관리제도 검토,,,,,,,
(주)일진,010510,2002/12,,,,,,,,,,,,,,,,,
(주)일화모직공업,001590,2004/11,,,,,,,,,,,,,,,,,
(주)잇츠한불,226320,2019/12,2019/12,삼덕회계법인,2019/12,14,삼덕회계법인,,158000,10,1141,재무제표 및 연결재무제표의 감사,,,,,,,
(주)제로원인터랙티브,069470,2009/12,,,,,,,,,,,,,,,,,
(주)제이에스코퍼레이션,194370,2019/12,2019/12,삼일회계법인,2019/12,32,삼일회계법인,,135000,10,1390,재무제표 검토 및 감사등,2019/12,32,삼일회계법인,BEPS 도입 자문 및 용역,2019.4.4~2019.12.31,25000,20190400
(주)제이콘텐트리,036420,2019/12,2019/12,삼일회계법인,2019/12,33,삼일회계법인,,155000,10,1819,"반기검토,중간,연말감사,연결감사",,,,,,,
(주)제일기획,030000,2019/12,2019/12,삼일회계법인,2019/12,47,삼일회계법인,,600000,10,5910,별도 및 연결 분/반기 재무제표 검토 별도 및 연결 재무제표에 대한 감사,2019/12,47,,세무조정,2019.07~2020.03,25000,20190701
(주)제일기획,030000,2019/12,2019/12,삼일회계법인,2019/12,47,삼일회계법인,,600000,10,5910,별도 및 연결 분/반기 재무제표 검토 별도 및 연결 재무제표에 대한 감사,2019/12,47,,세무자문,2019.07~2019.12,11000,20190701
(주)제일기획,030000,2019/12,2019/12,삼일회계법인,2019/12,47,삼일회계법인,,600000,10,5910,별도 및 연결 분/반기 재무제표 검토 별도 및 연결 재무제표에 대한 감사,2019/12,47,,경영자문,2019.08~2020.02,130000,20190801
(주)제주항공,089590,2019/12,2019/12,한영회계법인,2019/12,15,한영회계법인,,170000,10,2224,"개별/연결 재무제표에 대한 감사, 내부회계관리제도 검토",,,,,,,
(주)조비,001550,2019/12,2019/12,정진세림회계법인,2019/12,65,정진세림회계법인,,65000,10,794,"반기, 중간 재무제표 검토, 기말 재무제표 감사",2019/12,65,,세무조정,19.03.12~19.03.31,3000,20190312
(주)조인에너지,004820,2009/12,,,,,,,,,,,,,,,,,
(주)조흥,002600,2019/12,2019/12,성도회계법인,2019/12,61,성도이현회계법인,,70000,10,781,재무제표에 대한 감사,,,,,,,
(주)종근당,185750,2019/12,2019/12,한영회계법인,2019/12,7,한영회계법인,,195000,10,2442,"결산, 반기, 중간감사, 재고실사 용역비, 내부회계관리제도 검토",,,,,,,
(주)종근당바이오,063160,2019/12,2019/12,한영회계법인,2019/12,19,한영회계법인,,110000,10,1475,"결산, 반기, 중간감사, 재고실사 용역 내부회계관리제도 검토",2019/12,19,한영회계법인,세무조정업무,2018.01.01~2019.12.31,8000,20190718
(주)종근당홀딩스,001630,2019/12,2019/12,한영회계법인,2019/12,65,한영회계법인,,110000,10,1217,"결산, 반기, 중간감사, 재고실사 용역비, 내부회계관리제도 검토",,,,,,,
(주)주연테크,044380,2019/12,2019/12,대성삼경회계법인,2019/12,32,대성삼경회계법인,,65000,10,879,"반기,중간,기말 연결 및 개별재무제표에 대한 회계감사",2019/12,32,,법인세무조정용역,2019.01~12,5000,20190700
(주)중앙건설,015110,2011/12,,,,,,,,,,,,,,,,,
(주)중원전자,028610,1993/12,,,,,,,,,,,,,,,,,
(주)지누스,013890,2019/12,2019/12,삼정회계법인,2019/12,41,삼정회계법인,,204000,10,2363,반기 별도 및 연결재무제표 검토 연간 별도 및 연결재무제표검토 내부회계관리제도검토,2019/12,41,,재무관련 기재사항 확인업무,2019.08.19~2019.09.20,20000,20190819
(주)지비에스,076170,2008/12,,,,,,,,,,,,,,,,,
(주)지에스,078930,2019/12,2019/12,삼정회계법인,2019/12,16,삼정회계법인,,432500,10,5849,기말 별도: 2020년 2/3 ~ 2020년 2/7 기말 연결: 2020년 2/10 ~ 2020년 2/21 분기 별도: 2019년 10/31 ~ 11/6 분기 연결: 2019년 11/7 ~ 11/13 반기 별도: 2019년 7/25 ~ 2019년 7/31 반기 연결: 2019년 8/1,,,,,,,
(주)지에스글로벌,001250,2019/12,2019/12,안진회계법인,2019/12,69,안진회계법인,,280000,10,4100,"분기/반기검토, 기말*별도 및 연결 감사",,,,,,,
(주)지에스리테일,007070,2019/12,2019/12,삼정회계법인,2019/12,49,삼정회계법인,,610000,10,10859,별도재무제표 검토 및 감사 - 연결재무제표 검토 및 감사 주1) (현장감사기간) 별도재무제표(기말) : 2020.01.16~2020.01.29 연결재무제표(기말) : 2020.01.30~2020.02.04 내부회계 설계평가 : 2019.08.16~,2019/12,49,,ISMS 컨설팅 주),`19.05.22~`20.08.31,140000,20190522
(주)지코,010580,2019/12,2019/12,신우회계법인,2019/12,45,신우회계법인,,175000,10,1482,외부회계감사,,,,,,,
(주)지투알,035000,2019/12,2019/12,삼정회계법인,2019/12,36,삼정회계법인,,210000,10,1972,2019년 감사용역,,,,,,,
(주)진도,088790,2019/12,2019/12,대현회계법인,2019/12,14,대현회계법인,,69000,10,920,외부회계감사,,,,,,,
(주)진양홀딩스,100250,2019/12,2019/12,삼화회계법인,2019/12,12,삼화회계법인,,52500,10,1068,"반기검토,중간감사,기말감사,연결기말감사",2019/12,12,,세무조정,2020.03.02~2020.03.27,4600,20200228
(주)진에어,272450,2019/12,2019/12,한영회계법인,2019/12,12,한영회계법인,,180000,10,2211,분기 재무제표 검토 반기 재무제표 검토 개별 재무제표에 대한 감사 내부회계관리제도 검토,2019/12,12,,세무조정,2019.04~2020.03,16000,20190400
(주)천일고속,000650,2019/12,2019/12,동원회계법인,2019/12,72,동원회계법인,,65000,10,554,외부회계감사,,,,,,,
(주)청구,011510,2001/12,,,,,,,,,,,,,,,,,
(주)청호컴넷,012600,2019/12,2019/12,이정지율회계법인,2019/12,43,이정지율회계법인,,140000,10,1033,"반기검토,연말감사,연결감사,내부회계관리 검토",,,,,,,
(주)청화상공,016490,1993/12,,,,,,,,,,,,,,,,,
(주)체시스,033250,2019/06,2019/06,안경회계법인,2019/06,30,안경회계법인,,55000,10,976,"반기재무제표 검토, 개별 및 연결재무제표 감사",2019/06,30,안경회계법인,세무조정,2018.07.01-2019.06.30,6000,20181031
(주)카스코,005330,2006/12,,,,,,,,,,,,,,,,,
(주)카카오,035720,2019/12,2019/12,삼일회계법인,2019/12,25,삼일회계법인,상기 금액은 당사의 외부감사인과 2019년 회계연도 전체에 대한 감사 보수 및 내부회계제도감사에 대한 보수를 포함한 금액 입니다.,1180000,10,12737,별도 및 연결 재무제표에 대한 검토,2019/12,25,,세무조정 수임용역 기타 자문용역,2019년,305000,20190000
(주)카프로,006380,2019/12,2019/12,삼일회계법인,2019/12,50,삼일회계법인,,155000,10,1373,외부회계감사용역계약 (반기검토/기말감사/내부회계관리제도 검토),,,,,,,
(주)케니상사,028560,1993/12,,,,,,,,,,,,,,,,,
(주)케드콤,011050,2009/12,,,,,,,,,,,,,,,,,
(주)케이씨,029460,2019/12,2019/12,삼정회계법인,2019/12,30,삼정회계법인,,138000,10,2077,"반기검토, 중간감사, 연말감사(반기, 기말 연결 포함)",,,,,,,
(주)케이씨씨,002380,2019/12,2019/12,한영회계법인,2019/12,62,한영회계법인,,939250,10,11551,별도 및 연결 재무제표에 대한 감사,,,,,,,
(주)케이씨오에너지,011400,2009/12,,,,,,,,,,,,,,,,,
(주)케이씨텍,281820,2019/12,2019/12,삼정회계법인,2019/12,3,삼정회계법인,,112000,10,1591,연말감사,,,,,,,
(주)케이씨티시,009070,2019/12,2019/12,영앤진회계법인,2019/12,47,영앤진회계법인,,115000,10,1118,"반기,결산 연결재무제표,제무제표 검토,감사",2019/12,47,삼일회계법인,19년세무조정검토,2019.4월-2020.3월,10000,20190800
(주)케이에스에스해운,044450,2019/12,2019/12,삼덕회계법인,2019/12,36,삼덕회계법인,,85000,10,1088,연결감사,,,,,,,
(주)케이엔씨,018590,2002/12,,,,,,,,,,,,,,,,,
(주)케이와이씨,009400,1993/12,,,,,,,,,,,,,,,,,
(주)케이이씨,092220,2019/12,2019/12,삼일회계법인,2019/12,14,삼일회계법인,,190000,10,2038,·반기 재무제표 검토 (2019.01.01~2019.06.30) ·결산 재무제표 감사 (2019.01.01~2019.12.31) ·연결 반기 재무제표 검토 (2019.01.01~2019.06.30) ·연결 재무제표 감사 (2019.01.01~2019.12.31),2019/12,14,,세무조정,2019.05.01~2020.04.30,13000,20190816
(주)케이티,030200,2019/12,2019/12,삼일회계법인,2019/12,38,삼일회계법인,,3000000,10,35121,분·반기 재무제표 검토 별도재무제표 감사 연결재무제표 감사 20-F Filing,2019/12,38,,Comfort letter 작성,2019/7,100000,20190700
(주)케이티스카이라이프,053210,2019/12,2019/12,안진회계법인,2019/12,19,안진회계법인,,240000,10,3362,분반기 재무제표 검토 별도재무제표 기말감사 연결재무제표 기말감사 내부회계관리제도 검토,,,,,,,
(주)케이티씨에스,058850,2019/12,2019/12,삼일회계법인,2019/12,19,삼일회계법인,,180000,10,2506,재무제표에 대한 외부감사 및 검토용역,,,,,,,
(주)케이티아이에스,058860,2019/12,2019/12,삼일회계법인,2019/12,19,삼일회계법인,,140000,10,1374,"반기검토, 기말감사",,,,,,,
(주)케이티앤지,033780,2019/12,2019/12,안진회계법인,2019/12,33,안진회계법인,,4245000,10,37628,"분·반기 재무제표 검토, 별도 및 연결재무제표 감사, 내부회계관리제도 감사, 중간감사",,,,,,,
(주)케이티프리텔,032390,2008/12,,,,,,,,,,,,,,,,,
(주)케이피케미칼,064420,2011/12,,,,,,,,,,,,,,,,,
(주)코리아써키트,007810,2019/12,2019/12,한영회계법인,2019/12,48,한영회계법인,,130000,10,1514,- 분ㆍ반기 재무제표 검토 - 별도 및 연결재무제표에 대한 감사 - 내부회계관리제도 검토,,,,,,,
(주)코아스,071950,2019/12,2019/12,한길회계법인,2019/12,28,한길회계법인,,120000,10,1067,기말재무제표 감사 개별/연결재무제표등에 대한 회계감사 내부회계,,,,,,,
(주)코오롱,002020,2019/12,2019/12,삼정회계법인,2019/12,65,삼정회계법인,,260000,10,4196,"연결, 별도감사료",,,,,,,
(주)콤텍시스템,031820,2019/12,2019/12,대주회계법인,2019/12,37,대주회계법인,,90000,10,760,개별 기준 외부회계감사,,,,,,,
(주)큐로,015590,2019/12,2019/12,영앤진회계법인,2019/12,39,영앤진회계법인,,85000,10,1183,"반기검토, 연차감사, 연차연결감사, 영문감사, 내부통제 감사",2019/12,39,,외부평가기관의 평가 의견서,2019.11~2019.12,25000,20191100
(주)큐로,015590,2019/12,2019/12,영앤진회계법인,2019/12,39,영앤진회계법인,,85000,10,1183,"반기검토, 연차감사, 연차연결감사, 영문감사, 내부통제 감사",2019/12,39,,"CB가치평가, PPA 평가",2020.01,18000,20200100
(주)크라운제과,264900,2019/12,2019/12,삼정회계법인,2019/12,3,삼정회계법인,,130000,10,1259,-반기재무제표 검토 -기말재무제표 감사,2019/12,3,,세무조정용역,2019.04.01~2020.03.31,17000,20190400
(주)크라운해태홀딩스,005740,2019/12,2019/12,삼정회계법인,2019/12,53,삼정회계법인,,217000,10,2265,-반기(별도/연결) 검토 -별도재무제표 감사 -연결재무제표 감사,2019/12,53,,세무조정용역,`19.02.12~`19.05.10,40000,20190200
(주)크라운해태홀딩스,005740,2019/12,2019/12,삼정회계법인,2019/12,53,삼정회계법인,,217000,10,2265,-반기(별도/연결) 검토 -별도재무제표 감사 -연결재무제표 감사,2019/12,53,,세무조정용역,`19.04.01~`20.03.31,3000,20190400
(주)키다리스튜디오,020120,2019/12,2019/12,성도이현회계법인,2019/12,33,이현회계법인,,50000,10,1060,-분/반기 재무제표 검토 -별도 및 연결재무제표 감사 -내부회계관리 검토,,,,,,,
(주)키위미디어그룹,012170,2019/12,2019/12,태율회계법인,2019/12,43,태율회계법인,,80000,10,860,"감사계획, 반기검토, 중간감사, 재고실사입회, 결산감사, 연결감사",,,,,,,
(주)태영건설,009410,2019/12,2019/12,안진회계법인,2019/12,47,안진회계법인,,550000,10,11308,"분기 및 반기 재무제표 검토, 별도 및 연결 재무제표감사, 내부회계관리감사",2019/12,47,,법인세 신고 세무조정 및 자문 용역,2019.04.01~2020.03.31,38000,20190401
(주)태평양제약,016570,2011/12,,,,,,,,,,,,,,,,,
(주)태화쇼핑,015880,2000/12,,,,,,,,,,,,,,,,,
(주)테이팩스,055490,2019/12,2019/12,안진회계법인,2019/12,26,안진회계법인,,140000,10,1657,-중간기간 재무제표 검토 -개별 및 연결재무재표 감사,,,,,,,
(주)토니모리,214420,2019/12,2019/12,대주회계법인,2019/12,14,대주회계법인,,75000,10,883,재무제표 감사,2019/12,14,,2019년 세무조정,1년,20000,20190400
(주)톰보이,012580,2009/12,,,,,,,,,,,,,,,,,
(주)티비에이치글로벌,084870,2019/12,2019/12,삼정회계법인,2019/12,20,삼정회계법인,,223000,10,2029,"반기검토, 기말 회계감사",,,,,,,
(주)티에이치엔,019180,2019/12,2019/12,선일회계법인,2019/12,34,선일회계법인,,90000,10,1564,반기재무제표 검토 별도 및 연결재무제표에 대한 감사,,,,,,,
(주)티웨이항공,091810,2019/12,2019/12,대성삼경회계법인,2019/12,17,대성삼경회계법인,,180000,10,2474,회계감사,2019/12,17,현대회계법인,2019년 세무조정,2019.01~2019.03,10000,20200108
(주)티웨이홀딩스,004870,2019/12,2019/12,대성삼경회계법인,2019/12,53,대성삼경회계법인,,80000,10,753,반기재무제표검토 별도재무제표 감사 연결재무제표 감사,2019/12,53,대성삼경회계법인,2019년 세무조정,2019.01~2019.12,10000,20190700
(주)티이씨앤코,008900,2015/12,,,,,,,,,,,,,,,,,
(주)파브코,101990,2013/12,,,,,,,,,,,,,,,,,
(주)팜스코,036580,2019/12,2019/12,삼일회계법인,2019/12,21,삼일회계법인,,290000,10,3091,"분기,반기,중간,기말감사,내부회계",2019/12,21,"환급, 감액 또는 절감되는  세액의 25%",경정청구업무,본계약체결일부터관련세액의환급결정서수령일까지,0,20191014
(주)팬택,025930,2006/12,,,,,,,,,,,,,,,,,
(주)팬택앤큐리텔,063350,2006/12,,,,,,,,,,,,,,,,,
(주)퍼시스,016800,2019/12,2019/12,삼덕회계법인,2019/12,37,삼덕회계법인,,40000,10,950,"분기·반기·중간 재무제표 검토,개별재무제표 등에 대한 감사",,,,,,,
(주)퍼시픽글라스,009080,2004/12,,,,,,,,,,,,,,,,,
(주)포스코,005490,2019/12,2019/12,삼정회계법인,2019/12,52,삼정회계법인,,3812000,10,44735,"분ㆍ반기 재무제표 검토, 별도 및 연결재무제표 감사, 내부회계관리제도 감사, 20-F filing 업무 및 SOX 404 감사 등",2019/12,52,,Comfort Letter 발행,'19.10.14~'20.1.17,258000,20191014
(주)포스코,005490,2019/12,2019/12,삼정회계법인,2019/12,52,삼정회계법인,,3812000,10,44735,"분ㆍ반기 재무제표 검토, 별도 및 연결재무제표 감사, 내부회계관리제도 감사, 20-F filing 업무 및 SOX 404 감사 등",2019/12,52,,세무조정용역,'19.04.01~'20.03.31,95000,20190723
(주)포스코,005490,2019/12,2019/12,삼정회계법인,2019/12,52,삼정회계법인,,3812000,10,44735,"분ㆍ반기 재무제표 검토, 별도 및 연결재무제표 감사, 내부회계관리제도 감사, 20-F filing 업무 및 SOX 404 감사 등",2019/12,52,,Comfort Letter 발행,'19.05.15~'19.07.15,164000,20190515
(주)포스코인터내셔널,047050,2019/12,2019/12,한영회계법인,2019/12,20,한영회계법인,,1100000,10,14515,- 분ㆍ반기재무제표 검토 - 별도 및 연결재무제표에 대한 감사 - 내부회계관리제도에 대한 감사,2019/12,20,,1) 2018년 귀속 해외주재원 급여 세무조정 용역업무 수행,2019년4월~2019년12월,41000,20190400
(주)포스코인터내셔널,047050,2019/12,2019/12,한영회계법인,2019/12,20,한영회계법인,,1100000,10,14515,- 분ㆍ반기재무제표 검토 - 별도 및 연결재무제표에 대한 감사 - 내부회계관리제도에 대한 감사,2019/12,20,,1) 가스판매 및 운송 수익에 대한 연간 정산서 검증,2019년5월~2019년6월,3000,20190500
(주)포스코인터내셔널,047050,2019/12,2019/12,한영회계법인,2019/12,20,한영회계법인,,1100000,10,14515,- 분ㆍ반기재무제표 검토 - 별도 및 연결재무제표에 대한 감사 - 내부회계관리제도에 대한 감사,2019/12,20,,1) 법인세 세무조정 용역업무 수행,2019년5월~2020년4월,75000,20190500
(주)포스코케미칼,003670,2019/12,2019/12,한영회계법인,2019/12,49,한영회계법인,,280000,10,3115,"분ㆍ반기 재무제표 검토, 개별 및 연결재무제표 감사, 내부통제 감사",2019/12,49,,세무조정 용역,`19.4.9~`20.3.31,29000,20190409
(주)포스코플랜텍,051310,2015/12,,,,,,,,,,,,,,,,,
(주)폴루스바이오팜,007630,2019/12,2019/12,참회계법인,2019/12,48,명일회계법인,,150000,10,0,"반기, 중간, 기말",,,,,,,
(주)풀무원,103160,2008/12,,,,,,,,,,,,,,,,,
(주)풀무원,017810,2019/12,2019/12,삼정회계법인,2019/12,36,삼정회계법인,,207000,10,3583,분ㆍ반기 재무제표 검토 별도 및 연결 재무제표에 대한 감사,,,,,,,
(주)풍산,103140,2019/12,2019/12,한영회계법인,2019/12,12,한영회계법인,,450000,10,5321,"분/반기 검토, 중간감사, 재고실사, 별도 및 연결재무제표 감사, 내부회계관리제도 운영실태보고서 감사",2019/12,12,2019년 사업연도에 대한 세무조정,세무조정 계약,2019.08.29~2020.03.31,15000,20190829
(주)풍산홀딩스,005810,2019/12,2019/12,한영회계법인,2019/12,51,한영회계법인,,150000,10,1943,"분기/반기검토, 중간감사, 재고실사, 기말감사, 별도 및 연결재무제표 감사, 내부회계관리제도 검토",2019/12,51,,세무조정용역,2019.08.26~2020.03.31,9000,20190826
(주)풍진,028640,1994/06,,,,,,,,,,,,,,,,,
(주)피어리스,002130,2000/12,,,,,,,,,,,,,,,,,
(주)필룩스,033180,2019/12,2019/12,대주회계법인,2019/12,37,대주회계법인,,360000,10,1330,▷ 반기 재무제표 및 연결 재무제표 검토 ▷ 기말 재무제표 및 연결 재무제표 감사,,,,,,,
(주)하나투어,039130,2019/12,2019/12,삼정회계법인,2019/12,27,삼정회계법인,,285000,10,5839,별도반기검토(2019.07.22~2019.07.26) 연결반기검토(2019.07.29~2019.08.14) 별도기말감사(2020.02.17~2020.02.21) 연결기말감사(2020.02.24~2020.02.28),2019/12,27,삼정회계법인,세무조정,3주,10000,20190600
(주)하이스틸,071090,2019/12,2019/12,삼화회계법인,2019/12,17,삼화회계법인,,50000,10,864,반기검토 및 기말감사 내부회계관리제도 검토,2019/12,17,,세무조정계산,해당회계연도,2000,
(주)하이트론씨스템즈,019490,2019/12,2019/12,대성삼경회계법인,2019/12,34,대성삼경회계법인,,75000,10,888,"반기검토, 중간감사, 결산감사",,,,,,,
