회사명,거래소코드,회계년도,회계년월,회계감사법인,회계년월,기수,감사인,비고,보수(천원),시간구분,총소요시간,내용,회계년월,기수,비고,내용,용역수행기간,보수(천원),계약일
(주)금호에이치티,214330,2019/12,2019/12,대주회계법인,2019/12,32,대주회계법인,,90000,10,1297,"재무제표 검토,별도재무제표및 연결재무제표 감사",2019/12,32,대주회계법인,법인세 세무조정 계산서 작성 및 국세청 전자신고 대행,2020년02월~2020년03월,10000,20200204
(주)기린,006070,2008/12,,,,,,,,,,,,,,,,,
(주)까뮤이앤씨,013700,2019/12,2019/12,한영회계법인,2019/12,41,한영회계법인,"271(반기) 1,140(감사)",110000,10,1411,"반기검토, 개별재무제표 감사, 전산감사",,,,,,,
(주)나노메딕스,074610,2019/12,2019/12,리안회계법인,2019/12,17,리안회계법인,,130000,10,1303,"반기, 기말재무제표 별도 및 연결 재무제표에 대한 감사",,,,,,,
(주)나이스홀딩스,034310,2019/12,2019/12,안진회계법인,2019/12,34,안진회계법인,,178000,10,2441,"회계감사 및 반기검토, 연결회계감사",2019/12,34,,세무조정,2019.03,8500,20190300
(주)남선알미늄,008350,2019/12,2019/12,안경회계법인,2019/12,47,안경회계법인,,95000,10,1069,- 반기검토 - 중간감사(내부관리회계) - 기말감사,,,,,,,
(주)남성,004270,2019/12,2019/12,참회계법인,2019/12,56,참회계법인,,100000,10,1254,분기/ 반기/별도/연결 회계감사,,,,,,,
(주)남양,003020,2003/06,,,,,,,,,,,,,,,,,
(주)남영비비안,002070,2019/12,2019/12,삼정회계법인,2019/12,64,삼정회계법인,,255000,10,3162,"반기 재무제표검토 및 재무제표 감사, 반기 연결재무제표검토 및 연결재무제표 감사",,,,,,,
(주)넥센,005720,2019/12,2019/12,안경회계법인,2019/12,52,안경회계법인,,160000,10,2654,회계감사 및 검토,,,,,,,
(주)넥솔론,110570,2016/12,,,,,,,,,,,,,,,,,
(주)넥스트사이언스,003580,2019/12,2019/12,대현회계법인,2019/12,58,대현회계법인,,90000,10,1195,"반기검토,중간,기말",,,,,,,
(주)노루페인트,090350,2019/12,2019/12,한영회계법인,2019/12,14,한영회계법인,,195000,10,2868,"분,반기 연결 및 별도 재무제표 검토, 연간 연결 및 별도 재무제표 감사, 내부회계관리제도 운영실태보고서 검토",,,,,,,
(주)노루홀딩스,000320,2019/12,2019/12,한영회계법인,2019/12,74,한영회계법인,,110000,10,1285,"반기재무제표, 반기연결재무제표에 대한 검토 재무제표, 연결재무제표에 대한 감사 내부회계관리제도 검토",,,,,,,
(주)녹십자,006280,2019/12,2019/12,한영회계법인,2019/12,51,한영회계법인,,338000,10,4008,제51기 연결 / 별도재무제표 감사 및 분반기 검토,,,,,,,
(주)녹십자홀딩스,005250,2019/12,2019/12,한영회계법인,2019/12,54,한영회계법인,,312000,10,3595,"분반기검토, 중간감사, 기말감사, 연결감사",,,,,,,
(주)농심,004370,2019/12,2019/12,한영회계법인,2019/12,56,한영회계법인,,408000,10,5342,분 ·반기 재무제표 검토 별도 및 연결재무제표에 대한 감사 내부회계관리제도 감사,,,,,,,
(주)농심홀딩스,072710,2019/12,2019/12,삼정회계법인,2019/12,17,삼정회계법인,,195000,10,2281,- 분반기재무제표 검토 - 별도재무제표 감사 - 연결재무제표 감사 - 내부통제제도 검토,,,,,,,
(주)뉴맥스,014080,2000/12,,,,,,,,,,,,,,,,,
(주)다우기술,023590,2019/12,2019/12,한영회계법인,2019/12,34,한영회계법인,,224000,10,3067,분·반기 재무제표 검토 별도 및 연결 재무제표에 대한 감사,,,,,,,
(주)다함이텍,009280,2012/12,,,,,,,,,,,,,,,,,
(주)대교,019680,2019/12,2019/12,삼일회계법인,2019/12,33,삼일회계법인,,345000,10,3392,연결 및 별도 재무제표 감사 분반기 재무제표 검토,2019/12,33,,세무 용역,2019.03,14000,20190300
(주)대구백화점,006370,2019/12,2019/12,세일원회계법인,2019/12,51,세일회계법인,,189000,10,1700,반기재무제표검토 별도재무제표·연결재무제표 감사,2019/12,51,,세무조정보수계약,2019.01.01~2019.12.31,4000,20190213
(주)대구백화점,006370,2019/12,2019/12,세일원회계법인,2019/12,51,세일회계법인,,189000,10,1700,반기재무제표검토 별도재무제표·연결재무제표 감사,2019/12,51,,세무법률고문료,2019.01.01~2019.12.31,120000,20190213
(주)대농,001110,2001/12,,,,,,,,,,,,,,,,,
(주)대도상사,028500,1992/12,,,,,,,,,,,,,,,,,
(주)대망,028370,1982/11,,,,,,,,,,,,,,,,,
(주)대성합동지주,005620,2016/12,,,,,,,,,,,,,,,,,
(주)대양금속,009190,2019/12,2019/12,한영회계법인,2019/12,47,한영회계법인,,113000,10,1088,제47기 별도 회계감사 및 기검토,,,,,,,
(주)대우,003810,2000/12,,,,,,,,,,,,,,,,,
(주)대우건설,047040,2019/12,2019/12,삼일회계법인,2019/12,20,삼일회계법인,,1770000,10,16555,별도재무제표 감사 연결재무제표 감사,2019/12,20,,재무자문용역,2019.05,1000,20190500
(주)대우건설,047040,2019/12,2019/12,삼일회계법인,2019/12,20,삼일회계법인,,1770000,10,16555,별도재무제표 감사 연결재무제표 감사,2019/12,20,,재무자문용역,2019.09,1100,20190900
(주)대우건설,047040,2019/12,2019/12,삼일회계법인,2019/12,20,삼일회계법인,,1770000,10,16555,별도재무제표 감사 연결재무제표 감사,2019/12,20,,세무자문용역,2019.07,61943,20190700
(주)대우건설,047040,2019/12,2019/12,삼일회계법인,2019/12,20,삼일회계법인,,1770000,10,16555,별도재무제표 감사 연결재무제표 감사,2019/12,20,,재무자문용역,2019.10,1100,20190900
(주)대우건설,047040,2019/12,2019/12,삼일회계법인,2019/12,20,삼일회계법인,,1770000,10,16555,별도재무제표 감사 연결재무제표 감사,2019/12,20,,재무자문용역,2019.09,1100,20190900
(주)대우건설,047040,2019/12,2019/12,삼일회계법인,2019/12,20,삼일회계법인,,1770000,10,16555,별도재무제표 감사 연결재무제표 감사,2019/12,20,,세무자문용역,2019.05,10000,20190500
(주)대우건설,047040,2019/12,2019/12,삼일회계법인,2019/12,20,삼일회계법인,,1770000,10,16555,별도재무제표 감사 연결재무제표 감사,2019/12,20,,세무자문용역,2019.01,40000,20190100
(주)대우건설,047040,2019/12,2019/12,삼일회계법인,2019/12,20,삼일회계법인,,1770000,10,16555,별도재무제표 감사 연결재무제표 감사,2019/12,20,,세무자문용역,2019.06,10000,20190600
